BOM_ID,PRODUCT_ID,BOM_VERSION,EFFECTIVE_DATE,STATUS
1,1,A,2025-09-21,ACTIVE
2,2,A,2025-07-31,ACTIVE
3,3,A,2025-09-11,ACTIVE
4,4,A,2023-02-28,ACTIVE
5,5,A,2024-10-01,ACTIVE
6,6,A,2024-05-29,ACTIVE
7,7,A,2023-04-18,ACTIVE
8,8,A,2024-01-25,ACTIVE
9,9,A,2023-08-23,ACTIVE
10,10,A,2023-12-19,ACTIVE
11,11,A,2025-06-12,ACTIVE
12,12,A,2024-11-29,ACTIVE
13,13,A,2023-01-24,ACTIVE
14,14,A,2023-03-02,ACTIVE
15,15,A,2024-10-22,ACTIVE
16,16,A,2025-07-29,ACTIVE
17,17,A,2023-05-26,ACTIVE
18,18,A,2025-08-11,ACTIVE
19,19,A,2023-09-28,ACTIVE
20,20,A,2025-08-28,ACTIVE
21,21,A,2024-02-18,ACTIVE
22,22,A,2023-08-16,ACTIVE
23,23,A,2024-01-01,ACTIVE
24,24,A,2024-04-28,ACTIVE
25,25,A,2023-12-29,ACTIVE
26,26,A,2024-01-27,ACTIVE
27,27,A,2024-03-15,ACTIVE
28,28,A,2023-12-10,ACTIVE
29,29,A,2023-01-10,ACTIVE
30,30,A,2024-02-07,ACTIVE
31,31,A,2023-01-17,ACTIVE
32,32,A,2025-01-29,ACTIVE
33,33,A,2023-01-16,ACTIVE
34,34,A,2025-01-27,ACTIVE
35,35,A,2024-08-25,ACTIVE
36,36,A,2024-04-16,ACTIVE
37,37,A,2023-09-22,ACTIVE
38,38,A,2025-08-17,ACTIVE
39,39,A,2024-02-24,ACTIVE
40,40,A,2023-02-04,ACTIVE
41,41,A,2024-05-20,ACTIVE
42,42,A,2023-08-05,ACTIVE
43,43,A,2025-04-06,ACTIVE
44,44,A,2023-06-27,ACTIVE
45,45,A,2023-10-24,ACTIVE
46,46,A,2025-08-28,ACTIVE
47,47,A,2024-09-09,ACTIVE
48,48,A,2023-12-01,ACTIVE
49,49,A,2025-04-24,ACTIVE
50,50,A,2024-07-11,ACTIVE
51,51,A,2024-03-02,ACTIVE
52,52,A,2024-12-10,ACTIVE
53,53,A,2024-02-05,ACTIVE
54,54,A,2024-06-02,ACTIVE
55,55,A,2023-07-26,ACTIVE
56,56,A,2025-03-17,ACTIVE
57,57,A,2024-04-25,ACTIVE
58,58,A,2024-08-30,ACTIVE
59,59,A,2024-06-23,ACTIVE
60,60,A,2023-10-17,ACTIVE
61,61,A,2023-05-17,ACTIVE
62,62,A,2023-10-02,ACTIVE
63,63,A,2024-09-22,ACTIVE
64,64,A,2024-10-24,ACTIVE
65,65,A,2023-08-07,ACTIVE
66,66,A,2023-05-14,ACTIVE
67,67,A,2023-05-24,ACTIVE
68,68,A,2023-11-17,ACTIVE
69,69,A,2024-08-05,ACTIVE
70,70,A,2023-12-15,ACTIVE
71,71,A,2024-07-17,ACTIVE
72,72,A,2023-09-08,ACTIVE
73,73,A,2023-05-20,ACTIVE
74,74,A,2025-09-11,ACTIVE
