BOM_LINE_ID,BOM_ID,PART_ID,QUANTITY_PER,FIND_NUMBER
1,1,4995,14.0000,1
2,1,21943,18.0000,2
3,1,10985,9.0000,3
4,1,18059,20.0000,4
5,1,16640,17.0000,5
6,1,13515,5.0000,6
7,1,27108,7.0000,7
8,1,7390,7.0000,8
9,1,12235,1.0000,9
10,1,24353,17.0000,10
11,2,19894,20.0000,1
12,2,11699,3.0000,2
13,2,5024,12.0000,3
14,2,17061,8.0000,4
15,2,29661,17.0000,5
16,2,11941,11.0000,6
17,2,19146,19.0000,7
18,2,10954,5.0000,8
19,2,21271,14.0000,9
20,2,14971,5.0000,10
21,3,24414,6.0000,1
22,3,16228,11.0000,2
23,3,24366,8.0000,3
24,3,27484,18.0000,4
25,3,11363,9.0000,5
26,3,12392,12.0000,6
27,3,22440,7.0000,7
28,3,1344,5.0000,8
29,3,22010,11.0000,9
30,3,21403,1.0000,10
31,4,18017,20.0000,1
32,4,22760,18.0000,2
33,4,16,17.0000,3
34,4,14758,14.0000,4
35,4,23603,9.0000,5
36,4,10472,1.0000,6
37,4,1265,1.0000,7
38,4,5960,7.0000,8
39,4,23420,17.0000,9
40,4,20035,1.0000,10
41,5,18506,4.0000,1
42,5,28217,5.0000,2
43,5,2827,1.0000,3
44,5,10178,4.0000,4
45,5,4297,16.0000,5
46,5,17971,10.0000,6
47,5,16618,12.0000,7
48,5,2335,11.0000,8
49,5,11845,10.0000,9
50,5,24558,12.0000,10
51,6,9427,16.0000,1
52,6,9710,19.0000,2
53,6,2401,14.0000,3
54,6,14519,10.0000,4
55,6,14207,11.0000,5
56,6,6807,12.0000,6
57,6,4481,17.0000,7
58,6,5608,13.0000,8
59,6,19540,6.0000,9
60,6,17290,20.0000,10
61,7,1137,14.0000,1
62,7,5275,18.0000,2
63,7,3631,2.0000,3
64,7,27663,18.0000,4
65,7,15219,10.0000,5
66,7,5134,8.0000,6
67,7,15144,12.0000,7
68,7,21321,3.0000,8
69,7,18583,19.0000,9
70,7,9349,9.0000,10
71,8,19564,2.0000,1
72,8,24251,17.0000,2
73,8,7140,18.0000,3
74,8,17985,13.0000,4
75,8,27567,15.0000,5
76,8,11706,6.0000,6
77,8,5155,15.0000,7
78,8,2617,19.0000,8
79,8,6884,18.0000,9
80,8,25724,2.0000,10
81,9,20617,19.0000,1
82,9,22817,17.0000,2
83,9,23823,16.0000,3
84,9,12849,17.0000,4
85,9,29111,19.0000,5
86,9,22233,16.0000,6
87,9,8115,14.0000,7
88,9,6470,19.0000,8
89,9,10588,4.0000,9
90,9,26917,2.0000,10
91,10,28463,19.0000,1
92,10,28498,16.0000,2
93,10,12986,4.0000,3
94,10,3317,2.0000,4
95,10,5431,1.0000,5
96,10,22136,7.0000,6
97,10,27024,20.0000,7
98,10,14163,4.0000,8
99,10,6959,11.0000,9
100,10,26210,5.0000,10
101,11,29985,8.0000,1
102,11,16343,9.0000,2
103,11,7627,5.0000,3
104,11,18807,14.0000,4
105,11,12302,14.0000,5
106,11,9707,20.0000,6
107,11,20148,11.0000,7
108,11,6461,4.0000,8
109,11,20490,17.0000,9
110,11,22423,12.0000,10
111,12,1197,6.0000,1
112,12,412,17.0000,2
113,12,15881,5.0000,3
114,12,2026,9.0000,4
115,12,25240,15.0000,5
116,12,20400,18.0000,6
117,12,28169,10.0000,7
118,12,12014,4.0000,8
119,12,18822,19.0000,9
120,12,25659,2.0000,10
121,13,10116,9.0000,1
122,13,7056,5.0000,2
123,13,11774,9.0000,3
124,13,21799,12.0000,4
125,13,11048,20.0000,5
126,13,19783,18.0000,6
127,13,11774,19.0000,7
128,13,17294,4.0000,8
129,13,8151,18.0000,9
130,13,18180,12.0000,10
131,14,10480,11.0000,1
132,14,6373,2.0000,2
133,14,2238,1.0000,3
134,14,21896,11.0000,4
135,14,17076,10.0000,5
136,14,29385,2.0000,6
137,14,11027,20.0000,7
138,14,29593,8.0000,8
139,14,7612,1.0000,9
140,14,28259,2.0000,10
