CONTRACT_ID,SUPPLIER_ID,CONTRACT_CODE,START_DATE,END_DATE,CURRENCY_CODE,INCOTERM_CODE,STATUS
1,495,CTR-00001,2024-11-14,2026-07-06,CNY,EXW,ACTIVE
2,443,CTR-00002,2023-11-24,2025-03-31,EUR,DAP,ACTIVE
3,485,CTR-00003,2023-06-08,2024-11-03,CNY,DAP,ACTIVE
4,59,CTR-00004,2024-07-13,2026-03-04,KRW,DDP,ACTIVE
5,140,CTR-00005,2023-11-23,2025-03-21,USD,EXW,ACTIVE
6,15,CTR-00006,2024-04-29,2025-06-12,CNY,DDP,ACTIVE
7,108,CTR-00007,2023-11-23,2024-11-29,EUR,EXW,ACTIVE
8,390,CTR-00008,2024-03-02,2026-02-23,KRW,EXW,ACTIVE
9,235,CTR-00009,2024-06-04,2025-06-30,KRW,CIF,ACTIVE
10,353,CTR-00010,2023-03-28,2024-07-04,CNY,FOB,ACTIVE
11,394,CTR-00011,2023-10-07,2025-04-03,EUR,DDP,ACTIVE
12,199,CTR-00012,2024-10-24,2026-04-15,KRW,CIF,ACTIVE
13,24,CTR-00013,2024-10-23,2026-04-07,JPY,DAP,ACTIVE
14,61,CTR-00014,2023-07-07,2025-05-10,EUR,DAP,ACTIVE
15,161,CTR-00015,2023-05-17,2024-08-11,CNY,DAP,ACTIVE
16,441,CTR-00016,2024-01-16,2025-09-25,EUR,DDP,ACTIVE
17,146,CTR-00017,2024-06-02,2026-01-05,CNY,DDP,ACTIVE
18,454,CTR-00018,2024-03-30,2025-08-04,USD,EXW,ACTIVE
19,271,CTR-00019,2023-09-11,2025-06-05,JPY,DDP,ACTIVE
20,471,CTR-00020,2024-01-10,2025-07-26,CNY,DDP,ACTIVE
21,414,CTR-00021,2023-10-23,2025-07-15,KRW,EXW,ACTIVE
22,228,CTR-00022,2023-07-20,2025-01-30,USD,CIF,ACTIVE
23,366,CTR-00023,2024-02-12,2025-09-03,JPY,DDP,ACTIVE
24,484,CTR-00024,2023-12-04,2025-03-18,EUR,EXW,ACTIVE
25,363,CTR-00025,2023-06-08,2025-04-25,USD,CIF,ACTIVE
26,392,CTR-00026,2023-02-11,2025-01-26,CNY,EXW,ACTIVE
27,440,CTR-00027,2024-04-21,2025-06-28,USD,FOB,ACTIVE
28,344,CTR-00028,2024-09-26,2025-11-05,KRW,DDP,ACTIVE
29,10,CTR-00029,2024-05-25,2025-06-22,KRW,DAP,ACTIVE
30,403,CTR-00030,2023-12-17,2025-01-28,CNY,DAP,ACTIVE
31,17,CTR-00031,2023-05-20,2024-07-19,JPY,DDP,ACTIVE
32,260,CTR-00032,2024-11-28,2026-08-03,CNY,DDP,ACTIVE
33,16,CTR-00033,2023-12-23,2025-07-03,JPY,DAP,ACTIVE
34,258,CTR-00034,2024-01-29,2025-05-01,KRW,DAP,ACTIVE
35,103,CTR-00035,2024-12-09,2026-07-17,KRW,FOB,ACTIVE
36,472,CTR-00036,2023-12-27,2025-01-16,KRW,DDP,ACTIVE
37,265,CTR-00037,2024-10-12,2026-08-29,KRW,EXW,ACTIVE
38,460,CTR-00038,2024-06-10,2026-05-26,USD,CIF,ACTIVE
39,420,CTR-00039,2024-08-29,2025-12-16,JPY,DDP,ACTIVE
40,35,CTR-00040,2023-02-10,2024-03-15,USD,CIF,ACTIVE
41,6,CTR-00041,2023-02-13,2025-01-07,KRW,FOB,ACTIVE
42,217,CTR-00042,2023-06-04,2025-04-22,USD,CIF,ACTIVE
43,327,CTR-00043,2023-04-01,2024-11-01,JPY,CIF,ACTIVE
44,178,CTR-00044,2024-12-14,2026-03-25,EUR,EXW,ACTIVE
45,297,CTR-00045,2024-09-07,2026-05-30,EUR,EXW,ACTIVE
46,471,CTR-00046,2023-08-08,2025-02-16,CNY,CIF,ACTIVE
47,118,CTR-00047,2023-02-21,2024-11-17,CNY,CIF,ACTIVE
48,335,CTR-00048,2024-06-24,2025-11-08,JPY,DDP,ACTIVE
49,345,CTR-00049,2024-06-03,2025-10-18,JPY,FOB,ACTIVE
50,58,CTR-00050,2024-06-15,2025-08-09,JPY,FOB,ACTIVE
51,427,CTR-00051,2024-04-10,2026-03-20,USD,EXW,ACTIVE
52,210,CTR-00052,2024-12-29,2026-01-21,JPY,EXW,ACTIVE
53,401,CTR-00053,2024-09-25,2026-03-31,KRW,DDP,ACTIVE
54,19,CTR-00054,2023-09-07,2025-03-24,CNY,FOB,ACTIVE
55,207,CTR-00055,2023-08-29,2025-08-22,USD,CIF,ACTIVE
56,307,CTR-00056,2023-12-28,2025-09-30,CNY,DAP,ACTIVE
57,481,CTR-00057,2023-12-13,2025-03-06,EUR,DAP,ACTIVE
58,108,CTR-00058,2023-07-22,2025-05-25,USD,CIF,ACTIVE
59,40,CTR-00059,2023-08-24,2024-11-01,KRW,DAP,ACTIVE
60,290,CTR-00060,2023-09-07,2024-11-16,KRW,DAP,ACTIVE
61,137,CTR-00061,2023-10-01,2024-11-10,KRW,EXW,ACTIVE
62,275,CTR-00062,2023-12-14,2025-11-14,JPY,DAP,ACTIVE
63,131,CTR-00063,2023-05-12,2025-05-01,KRW,DDP,ACTIVE
64,163,CTR-00064,2024-05-02,2025-12-19,CNY,DDP,ACTIVE
65,219,CTR-00065,2024-12-10,2026-05-12,KRW,DDP,ACTIVE
66,134,CTR-00066,2023-08-26,2025-01-11,KRW,DDP,ACTIVE
67,144,CTR-00067,2023-01-12,2024-01-16,KRW,FOB,ACTIVE
68,321,CTR-00068,2024-02-07,2025-03-10,USD,FOB,ACTIVE
69,83,CTR-00069,2023-06-28,2025-03-12,KRW,FOB,ACTIVE
70,349,CTR-00070,2024-04-13,2025-04-24,JPY,CIF,ACTIVE
71,64,CTR-00071,2024-05-06,2025-08-29,USD,DAP,ACTIVE
72,251,CTR-00072,2024-08-19,2026-08-02,KRW,CIF,ACTIVE
73,140,CTR-00073,2024-04-12,2025-11-07,JPY,CIF,ACTIVE
74,485,CTR-00074,2024-08-25,2026-01-20,CNY,EXW,ACTIVE
75,67,CTR-00075,2023-05-05,2024-06-06,EUR,DAP,ACTIVE
76,206,CTR-00076,2023-03-27,2025-03-05,JPY,DAP,ACTIVE
77,155,CTR-00077,2024-05-29,2025-11-03,KRW,DDP,ACTIVE
78,117,CTR-00078,2023-08-07,2025-04-08,KRW,DDP,ACTIVE
79,384,CTR-00079,2024-12-28,2026-05-02,KRW,CIF,ACTIVE
80,224,CTR-00080,2023-06-11,2024-06-14,EUR,DDP,ACTIVE
81,117,CTR-00081,2023-04-29,2024-12-18,CNY,DDP,ACTIVE
82,317,CTR-00082,2023-10-24,2025-03-12,CNY,CIF,ACTIVE
83,323,CTR-00083,2023-10-23,2025-08-13,KRW,EXW,ACTIVE
84,349,CTR-00084,2024-10-08,2026-09-23,JPY,FOB,ACTIVE
85,111,CTR-00085,2023-02-08,2024-11-29,JPY,CIF,ACTIVE
86,233,CTR-00086,2023-07-05,2024-08-17,CNY,DAP,ACTIVE
87,115,CTR-00087,2023-06-23,2024-10-17,KRW,CIF,ACTIVE
88,470,CTR-00088,2023-05-19,2025-02-26,USD,DDP,ACTIVE
89,88,CTR-00089,2023-10-11,2025-03-07,EUR,EXW,ACTIVE
90,417,CTR-00090,2023-01-22,2024-07-31,CNY,DDP,ACTIVE
91,463,CTR-00091,2024-11-29,2026-05-19,CNY,FOB,ACTIVE
92,498,CTR-00092,2023-08-24,2025-02-08,KRW,CIF,ACTIVE
93,486,CTR-00093,2024-07-17,2026-01-13,USD,FOB,ACTIVE
94,317,CTR-00094,2024-02-16,2025-02-15,JPY,EXW,ACTIVE
95,431,CTR-00095,2024-02-05,2025-10-18,CNY,FOB,ACTIVE
96,136,CTR-00096,2024-01-02,2025-10-12,EUR,DAP,ACTIVE
97,24,CTR-00097,2024-06-03,2026-05-06,JPY,DAP,ACTIVE
98,163,CTR-00098,2023-10-21,2025-07-10,USD,DAP,ACTIVE
99,459,CTR-00099,2024-05-25,2025-09-20,CNY,EXW,ACTIVE
100,210,CTR-00100,2024-07-08,2026-02-11,KRW,DDP,ACTIVE
101,485,CTR-00101,2024-07-11,2025-11-23,JPY,DDP,ACTIVE
102,343,CTR-00102,2024-05-13,2026-01-10,JPY,EXW,ACTIVE
103,127,CTR-00103,2024-09-26,2026-08-01,JPY,FOB,ACTIVE
104,307,CTR-00104,2023-09-21,2024-09-30,USD,DAP,ACTIVE
105,302,CTR-00105,2024-07-27,2026-07-10,USD,CIF,ACTIVE
106,207,CTR-00106,2023-06-19,2024-09-09,USD,CIF,ACTIVE
107,148,CTR-00107,2024-06-24,2026-03-16,JPY,DAP,ACTIVE
108,461,CTR-00108,2024-12-14,2026-06-02,KRW,DAP,ACTIVE
109,490,CTR-00109,2023-03-08,2024-07-08,EUR,DDP,ACTIVE
110,423,CTR-00110,2023-02-21,2024-07-08,EUR,FOB,ACTIVE
111,197,CTR-00111,2024-06-09,2025-07-20,KRW,CIF,ACTIVE
112,412,CTR-00112,2024-03-02,2026-02-04,EUR,DAP,ACTIVE
113,381,CTR-00113,2024-10-26,2025-11-20,JPY,DAP,ACTIVE
114,26,CTR-00114,2023-01-09,2024-12-07,USD,DAP,ACTIVE
115,240,CTR-00115,2024-02-09,2026-01-04,JPY,CIF,ACTIVE
116,400,CTR-00116,2024-03-13,2025-10-18,KRW,EXW,ACTIVE
117,169,CTR-00117,2024-11-30,2026-06-21,JPY,DDP,ACTIVE
118,14,CTR-00118,2024-10-25,2026-07-13,JPY,DAP,ACTIVE
119,322,CTR-00119,2024-09-30,2025-12-12,USD,DDP,ACTIVE
120,159,CTR-00120,2023-02-11,2024-07-15,USD,CIF,ACTIVE
121,116,CTR-00121,2023-02-28,2024-05-17,KRW,EXW,ACTIVE
122,56,CTR-00122,2023-11-01,2024-11-04,CNY,CIF,ACTIVE
123,274,CTR-00123,2023-05-09,2025-02-28,CNY,CIF,ACTIVE
124,299,CTR-00124,2023-06-01,2025-03-03,CNY,DAP,ACTIVE
125,48,CTR-00125,2023-10-17,2025-05-02,USD,CIF,ACTIVE
126,283,CTR-00126,2024-09-09,2026-07-16,CNY,DAP,ACTIVE
127,274,CTR-00127,2023-06-08,2024-08-20,EUR,CIF,ACTIVE
128,294,CTR-00128,2023-05-24,2024-06-03,JPY,DDP,ACTIVE
129,151,CTR-00129,2023-12-04,2025-05-23,KRW,DAP,ACTIVE
130,180,CTR-00130,2024-05-16,2026-01-26,KRW,DDP,ACTIVE
131,480,CTR-00131,2023-11-27,2025-06-10,USD,DAP,ACTIVE
132,373,CTR-00132,2024-12-02,2026-11-22,JPY,CIF,ACTIVE
133,238,CTR-00133,2024-08-03,2026-06-07,KRW,DDP,ACTIVE
134,396,CTR-00134,2023-05-21,2025-05-04,USD,CIF,ACTIVE
135,76,CTR-00135,2023-12-16,2025-04-21,KRW,FOB,ACTIVE
136,385,CTR-00136,2023-10-09,2025-09-15,USD,EXW,ACTIVE
