LANE_ID,ORIGIN_PORT_ID,DEST_PORT_ID,TRANSPORT_MODE,TRANSIT_DAYS_AVG,IS_PROBLEM_LANE
1,1,3,AIR,4,False
2,1,6,AIR,5,False
3,1,11,AIR,3,False
4,1,21,AIR,6,False
5,1,22,AIR,6,False
6,1,27,AIR,5,False
7,1,29,AIR,4,False
8,1,34,AIR,2,False
9,1,37,AIR,3,False
10,1,40,AIR,6,False
11,2,1,AIR,6,False
12,2,4,AIR,5,False
13,2,5,AIR,2,False
14,2,6,AIR,2,False
15,2,11,AIR,2,False
16,2,14,AIR,4,False
17,2,15,AIR,6,False
18,2,17,AIR,2,False
19,2,19,AIR,5,False
20,2,20,AIR,6,False
21,2,21,AIR,2,False
22,2,25,AIR,6,False
23,2,29,AIR,5,False
24,2,35,AIR,4,False
25,2,38,AIR,3,False
26,2,39,AIR,3,False
27,2,40,AIR,4,False
28,3,7,AIR,2,False
29,3,10,AIR,6,False
30,3,13,AIR,3,False
31,3,14,AIR,6,False
32,3,15,AIR,2,False
33,3,18,AIR,5,False
34,3,27,AIR,3,False
35,3,35,AIR,4,False
36,3,36,AIR,2,False
37,3,38,AIR,2,False
38,3,39,AIR,3,False
39,4,3,AIR,4,False
40,4,5,AIR,3,False
41,4,9,AIR,4,False
42,4,16,AIR,5,False
43,4,17,AIR,3,False
44,4,19,AIR,3,False
45,4,20,AIR,2,False
46,4,28,AIR,2,False
47,4,32,AIR,3,False
48,4,36,AIR,6,False
49,4,38,AIR,5,False
50,4,39,AIR,2,False
51,4,40,AIR,5,False
52,5,1,AIR,6,False
53,5,2,AIR,3,False
54,5,7,AIR,5,False
55,5,8,AIR,6,False
56,5,9,AIR,3,False
57,5,11,AIR,5,False
58,5,13,AIR,4,False
59,5,16,AIR,4,False
60,5,21,AIR,3,False
61,5,24,AIR,3,False
62,5,25,AIR,3,False
63,5,26,AIR,4,False
64,5,29,AIR,2,False
65,5,30,AIR,4,False
66,5,35,AIR,5,False
67,5,37,AIR,6,False
340,26,2,AIR,6,False
341,26,3,AIR,2,False
342,26,6,AIR,6,False
343,26,9,AIR,4,False
344,26,11,OCEAN,37,False
345,26,12,OCEAN,41,False
346,26,15,OCEAN,33,False
347,26,27,OCEAN,40,False
348,26,28,OCEAN,16,False
349,26,34,OCEAN,23,False
350,26,35,OCEAN,20,False
351,26,37,OCEAN,30,False
352,26,39,OCEAN,40,False
353,26,40,OCEAN,37,False
354,27,2,AIR,3,False
355,27,3,AIR,4,False
356,27,4,AIR,6,False
357,27,6,AIR,6,False
358,27,11,OCEAN,14,False
359,27,13,OCEAN,18,False
360,27,14,OCEAN,25,False
361,27,16,OCEAN,38,False
362,27,19,OCEAN,25,False
363,27,21,OCEAN,31,False
364,27,22,OCEAN,25,False
365,27,23,OCEAN,41,False
366,27,30,OCEAN,30,False
367,27,32,OCEAN,15,False
368,27,35,OCEAN,16,False
369,27,37,OCEAN,18,False
370,27,39,OCEAN,37,False
371,28,4,AIR,4,False
372,28,12,OCEAN,15,False
373,28,14,OCEAN,16,False
374,28,21,OCEAN,27,False
375,28,22,OCEAN,30,False
376,28,24,OCEAN,23,False
377,28,27,OCEAN,37,False
378,28,29,OCEAN,31,False
379,28,30,OCEAN,15,False
380,28,33,OCEAN,41,False
381,28,35,OCEAN,16,False
382,29,3,AIR,3,False
383,29,4,AIR,2,False
384,29,7,AIR,2,False
385,29,10,OCEAN,21,False
386,29,11,OCEAN,30,False
387,29,12,OCEAN,16,False
388,29,13,OCEAN,32,False
389,29,17,OCEAN,15,False
390,29,20,OCEAN,32,False
391,29,21,OCEAN,39,False
392,29,23,OCEAN,35,False
393,29,27,OCEAN,25,False
394,29,28,OCEAN,16,False
395,29,30,OCEAN,15,False
396,29,31,OCEAN,15,False
397,29,32,OCEAN,20,False
398,29,36,OCEAN,18,False
399,29,37,OCEAN,25,False
400,29,38,OCEAN,33,False
401,29,40,OCEAN,41,False
402,30,2,AIR,4,False
403,30,5,AIR,2,False
404,30,6,AIR,3,False
405,30,7,AIR,3,False
406,30,8,AIR,3,False
407,30,14,OCEAN,27,False
476,36,6,AIR,3,False
477,36,7,AIR,5,False
478,36,9,AIR,6,False
479,36,11,OCEAN,16,False
480,36,18,OCEAN,39,False
481,36,22,OCEAN,21,False
482,36,23,OCEAN,20,False
483,36,27,OCEAN,14,False
484,36,32,OCEAN,28,False
485,36,38,OCEAN,25,False
486,36,39,OCEAN,17,False
487,37,1,AIR,6,False
488,37,2,AIR,5,False
489,37,3,AIR,4,False
490,37,5,AIR,5,False
491,37,15,OCEAN,35,False
492,37,18,OCEAN,24,False
493,37,24,OCEAN,18,False
494,37,25,OCEAN,24,False
495,37,26,OCEAN,24,False
496,37,29,OCEAN,14,False
