MANUFACTURER_ID,MANUFACTURER_NAME,COUNTRY_ID
1,TechCore Corp,3
2,MicroEdge Corp,7
3,NanoBridge Corp,17
4,SiliconWave Corp,11
5,ChipLogic Corp,8
6,CircuitPeak Corp,3
7,DigiForge Corp,12
8,PowerLink Corp,22
9,SenseCore Corp,19
10,OptoMax Corp,17
11,ResistoPro Corp,22
12,CapaciTech Corp,11
13,InductoStar Corp,8
14,ConnectWave Corp,21
15,BoardMaster Corp,21
16,MechaParts Corp,13
17,PackRight Corp,18
18,LaserPoint Corp,10
19,VoltEdge Corp,7
20,SensorX Corp,19
21,TechCore Inc,6
22,MicroEdge Inc,4
23,NanoBridge Inc,6
24,SiliconWave Inc,4
25,ChipLogic Inc,11
26,CircuitPeak Inc,8
27,DigiForge Inc,24
28,PowerLink Inc,24
29,SenseCore Inc,2
30,OptoMax Inc,19
31,ResistoPro Inc,17
32,CapaciTech Inc,8
33,InductoStar Inc,16
34,ConnectWave Inc,22
35,BoardMaster Inc,11
36,MechaParts Inc,8
37,PackRight Inc,17
38,LaserPoint Inc,8
39,VoltEdge Inc,20
40,SensorX Inc,19
41,TechCore Ltd,2
42,MicroEdge Ltd,17
43,NanoBridge Ltd,19
44,SiliconWave Ltd,2
45,ChipLogic Ltd,1
46,CircuitPeak Ltd,19
47,DigiForge Ltd,10
48,PowerLink Ltd,7
49,SenseCore Ltd,13
50,OptoMax Ltd,6
51,ResistoPro Ltd,19
52,CapaciTech Ltd,14
53,InductoStar Ltd,1
54,ConnectWave Ltd,23
55,BoardMaster Ltd,23
56,MechaParts Ltd,15
57,PackRight Ltd,17
58,LaserPoint Ltd,16
59,VoltEdge Ltd,4
60,SensorX Ltd,10
61,TechCore GmbH,9
62,MicroEdge GmbH,19
63,NanoBridge GmbH,7
64,SiliconWave GmbH,15
65,ChipLogic GmbH,3
66,CircuitPeak GmbH,22
67,DigiForge GmbH,24
68,PowerLink GmbH,9
69,SenseCore GmbH,7
70,OptoMax GmbH,13
71,ResistoPro GmbH,4
72,CapaciTech GmbH,11
73,InductoStar GmbH,12
74,ConnectWave GmbH,9
75,BoardMaster GmbH,15
76,MechaParts GmbH,18
77,PackRight GmbH,19
78,LaserPoint GmbH,1
79,VoltEdge GmbH,20
80,SensorX GmbH,20
81,TechCore SA,1
82,MicroEdge SA,17
83,NanoBridge SA,15
84,SiliconWave SA,9
85,ChipLogic SA,23
86,CircuitPeak SA,9
87,DigiForge SA,3
88,PowerLink SA,14
89,SenseCore SA,4
90,OptoMax SA,13
91,ResistoPro SA,23
92,CapaciTech SA,10
93,InductoStar SA,2
94,ConnectWave SA,5
95,BoardMaster SA,7
96,MechaParts SA,8
97,PackRight SA,24
98,LaserPoint SA,3
99,VoltEdge SA,23
100,SensorX SA,2
101,TechCore Co,9
102,MicroEdge Co,23
103,NanoBridge Co,19
104,SiliconWave Co,15
105,ChipLogic Co,14
106,CircuitPeak Co,11
107,DigiForge Co,12
108,PowerLink Co,5
109,SenseCore Co,18
110,OptoMax Co,7
111,ResistoPro Co,21
112,CapaciTech Co,4
113,InductoStar Co,17
114,ConnectWave Co,10
115,BoardMaster Co,16
116,MechaParts Co,24
117,PackRight Co,17
118,LaserPoint Co,14
119,VoltEdge Co,6
120,SensorX Co,3
121,TechCore AG,12
122,MicroEdge AG,24
123,NanoBridge AG,14
124,SiliconWave AG,7
125,ChipLogic AG,8
126,CircuitPeak AG,7
127,DigiForge AG,14
128,PowerLink AG,14
129,SenseCore AG,15
130,OptoMax AG,12
131,ResistoPro AG,16
132,CapaciTech AG,13
133,InductoStar AG,6
134,ConnectWave AG,8
135,BoardMaster AG,12
136,MechaParts AG,9
137,PackRight AG,11
138,LaserPoint AG,1
139,VoltEdge AG,4
140,SensorX AG,11
141,TechCore BV,14
142,MicroEdge BV,22
143,NanoBridge BV,8
144,SiliconWave BV,14
145,ChipLogic BV,14
146,CircuitPeak BV,11
147,DigiForge BV,11
148,PowerLink BV,11
149,SenseCore BV,15
150,OptoMax BV,19
151,ResistoPro BV,2
152,CapaciTech BV,9
153,InductoStar BV,20
154,ConnectWave BV,15
155,BoardMaster BV,24
156,MechaParts BV,19
157,PackRight BV,4
158,LaserPoint BV,19
159,VoltEdge BV,3
160,SensorX BV,13
161,TechCore KK,13
162,MicroEdge KK,13
163,NanoBridge KK,22
164,SiliconWave KK,15
165,ChipLogic KK,6
166,CircuitPeak KK,21
167,DigiForge KK,9
168,PowerLink KK,20
169,SenseCore KK,18
170,OptoMax KK,20
171,ResistoPro KK,11
172,CapaciTech KK,7
173,InductoStar KK,5
174,ConnectWave KK,10
175,BoardMaster KK,18
176,MechaParts KK,21
177,PackRight KK,12
178,LaserPoint KK,1
179,VoltEdge KK,8
180,SensorX KK,20
181,TechCore Pte,6
182,MicroEdge Pte,7
183,NanoBridge Pte,12
184,SiliconWave Pte,16
185,ChipLogic Pte,2
186,CircuitPeak Pte,22
187,DigiForge Pte,10
188,PowerLink Pte,4
189,SenseCore Pte,20
190,OptoMax Pte,9
191,ResistoPro Pte,15
192,CapaciTech Pte,7
193,InductoStar Pte,3
194,ConnectWave Pte,13
195,BoardMaster Pte,9
196,MechaParts Pte,19
197,PackRight Pte,7
198,LaserPoint Pte,14
199,VoltEdge Pte,10
200,SensorX Pte,18
