PART_ID,PART_NUMBER,PART_NAME,COMMODITY_ID,SUB_COMMODITY_ID,UOM_CODE,UNIT_COST_USD,WEIGHT_KG,LIFECYCLE_STATUS,IS_SYNTHETIC
1,P-000001,DRAM-00001,3,8,EA,256.29,1.507,ACTIVE,True
2,P-000002,OpAmp-00002,7,19,EA,48.65,6.348,ACTIVE,True
3,P-000003,Resistor-00003,5,14,EA,350.55,5.995,ACTIVE,True
4,P-000004,Capacitor-00004,11,32,EA,320.60,5.591,ACTIVE,True
5,P-000005,Inductor-00005,8,24,EA,185.15,5.248,NRND,True
6,P-000006,Connector-00006,3,7,EA,26.23,9.587,ACTIVE,True
7,P-000007,PCB-00007,12,35,EA,188.89,6.485,ACTIVE,True
8,P-000008,Enclosure-00008,10,30,EA,371.82,1.875,ACTIVE,True
9,P-000009,Heatsink-00009,7,20,EA,63.30,0.628,ACTIVE,True
10,P-000010,LED-00010,5,14,EA,383.70,3.207,ACTIVE,True
11,P-000011,Converter-00011,10,29,EA,373.04,0.595,ACTIVE,True
12,P-000012,TempSensor-00012,11,33,EA,492.97,5.764,ACTIVE,True
13,P-000013,Cable-00013,8,23,EA,470.04,0.942,ACTIVE,True
14,P-000014,Aluminum-00014,9,26,EA,308.18,4.543,ACTIVE,True
15,P-000015,SolderPaste-00015,9,25,EA,80.99,9.552,ACTIVE,True
16,P-000016,MCU-00016,1,3,EA,307.33,4.883,ACTIVE,True
17,P-000017,DRAM-00017,6,18,EA,369.28,1.936,ACTIVE,True
18,P-000018,OpAmp-00018,10,29,EA,397.29,6.354,ACTIVE,True
19,P-000019,Resistor-00019,7,19,EA,375.79,6.823,ACTIVE,True
20,P-000020,Capacitor-00020,7,19,EA,302.67,6.890,ACTIVE,True
21,P-000021,Inductor-00021,6,16,EA,469.91,7.386,ACTIVE,True
22,P-000022,Connector-00022,4,12,EA,323.60,4.779,ACTIVE,True
23,P-000023,PCB-00023,6,18,EA,104.96,8.917,ACTIVE,True
24,P-000024,Enclosure-00024,4,10,EA,300.83,8.571,ACTIVE,True
25,P-000025,Heatsink-00025,11,31,EA,84.01,5.043,ACTIVE,True
26,P-000026,LED-00026,8,23,EA,213.69,2.611,ACTIVE,True
27,P-000027,Converter-00027,12,34,EA,308.61,5.690,ACTIVE,True
28,P-000028,TempSensor-00028,12,36,EA,144.99,4.725,ACTIVE,True
29,P-000029,Cable-00029,2,4,EA,346.24,7.583,ACTIVE,True
30,P-000030,Aluminum-00030,7,20,EA,32.92,2.274,ACTIVE,True
31,P-000031,SolderPaste-00031,5,15,EA,475.34,2.263,NRND,True
32,P-000032,MCU-00032,8,24,EA,445.79,1.919,ACTIVE,True
33,P-000033,DRAM-00033,4,11,EA,367.44,7.455,ACTIVE,True
34,P-000034,OpAmp-00034,10,30,EA,0.86,3.940,ACTIVE,True
35,P-000035,Resistor-00035,11,33,EA,366.07,6.830,ACTIVE,True
36,P-000036,Capacitor-00036,8,23,EA,95.52,0.280,ACTIVE,True
37,P-000037,Inductor-00037,5,15,EA,25.06,1.836,ACTIVE,True
38,P-000038,Connector-00038,8,22,EA,131.55,1.349,ACTIVE,True
39,P-000039,PCB-00039,8,22,EA,220.55,9.601,ACTIVE,True
40,P-000040,Enclosure-00040,7,20,EA,275.75,7.990,ACTIVE,True
41,P-000041,Heatsink-00041,2,5,EA,154.34,4.261,EOL,True
42,P-000042,LED-00042,5,13,EA,38.31,1.784,ACTIVE,True
43,P-000043,Converter-00043,7,19,EA,354.57,6.987,ACTIVE,True
44,P-000044,TempSensor-00044,2,4,EA,199.16,4.857,ACTIVE,True
45,P-000045,Cable-00045,1,1,EA,183.19,4.788,ACTIVE,True
46,P-000046,Aluminum-00046,7,20,EA,435.56,9.248,ACTIVE,True
47,P-000047,SolderPaste-00047,10,28,EA,52.18,1.619,ACTIVE,True
