PRODUCT_FAMILY_ID,PRODUCT_FAMILY_NAME
1,SmartSense
2,PowerDrive
3,ConnectX
4,VisionPro
5,AudioMax
6,ThermoGuard
7,NavCore
8,EcoCharge
9,UltraLink
10,FlexBoard
11,LightPulse
12,MotionCtrl
13,SafeNet
14,DataStream
15,CloudEdge
16,RoboArm
17,BioScan
18,SolarInv
19,WindCtrl
20,AquaMon
21,AutoPilot
22,GridSync
23,MedPulse
24,AirPure
25,SmartLock
26,CamView
27,DroneNav
28,EVCharge
29,HeatPump
30,SoundBar
31,LEDPanel
32,MotorDrv
33,SensFusion
34,RFModule
35,PowerBank
36,DisplayHD
37,KeyPad
38,TouchCtrl
39,VoiceBox
40,LaserCut
41,WeldCtrl
42,PumpDrive
43,ValveCtrl
44,FlowMeter
45,LevelSense
46,PressGuard
47,TempLog
48,HumidCtrl
49,VibMon
50,LoadCell
51,TorqueSns
52,SpeedCtrl
53,PosSense
54,ProxDet
55,ColorSns
56,GasDet
57,PHMeter
58,TurbSense
59,GenCtrl
60,InvBoard
