SUPPLIER_ID,SUPPLIER_NAME,SUPPLIER_CODE,COUNTRY_ID,COMMODITY_ID,RELIABILITY_RATING,IS_PROBLEM,ACTIVE,IS_SYNTHETIC
1,NEXORA SEMICONDUCTORS,SUP-00001,7,2,0.88,True,True,True
2,NEXORA COMPONENTS,SUP-00002,17,1,0.84,False,True,True
3,NEXORA MATERIALS,SUP-00003,11,8,0.74,False,True,True
4,NEXORA ELECTRONICS,SUP-00004,8,5,0.79,False,True,True
5,NEXORA TECHNOLOGIES,SUP-00005,3,9,0.94,False,True,True
6,NEXORA PRECISION,SUP-00006,12,7,0.82,False,True,True
7,NEXORA SYSTEMS,SUP-00007,22,11,0.68,False,True,True
8,NEXORA SOLUTIONS,SUP-00008,19,9,0.81,False,True,True
9,NEXORA INDUSTRIES,SUP-00009,17,5,0.69,False,True,True
10,NEXORA MANUFACTURING,SUP-00010,22,8,0.69,False,True,True
11,BLUEFORGE SEMICONDUCTORS,SUP-00011,11,11,0.83,False,True,True
12,BLUEFORGE COMPONENTS,SUP-00012,8,12,0.76,True,True,True
13,BLUEFORGE MATERIALS,SUP-00013,21,8,0.63,False,True,True
14,BLUEFORGE ELECTRONICS,SUP-00014,21,5,0.77,False,True,True
15,BLUEFORGE TECHNOLOGIES,SUP-00015,13,7,0.78,False,True,True
16,BLUEFORGE PRECISION,SUP-00016,18,3,0.72,False,True,True
17,BLUEFORGE SYSTEMS,SUP-00017,10,9,0.67,False,True,True
18,BLUEFORGE SOLUTIONS,SUP-00018,7,2,0.68,False,True,True
19,BLUEFORGE INDUSTRIES,SUP-00019,19,1,0.78,False,True,True
20,BLUEFORGE MANUFACTURING,SUP-00020,6,10,0.86,False,True,True
21,PENTAWAVE SEMICONDUCTORS,SUP-00021,4,7,0.90,False,True,True
22,PENTAWAVE COMPONENTS,SUP-00022,6,12,0.99,False,True,True
23,PENTAWAVE MATERIALS,SUP-00023,4,6,0.75,True,True,True
24,PENTAWAVE ELECTRONICS,SUP-00024,11,1,0.62,False,True,True
25,PENTAWAVE TECHNOLOGIES,SUP-00025,8,4,0.60,False,True,True
26,PENTAWAVE PRECISION,SUP-00026,24,11,0.68,False,True,True
27,PENTAWAVE SYSTEMS,SUP-00027,24,1,0.80,False,True,True
28,PENTAWAVE SOLUTIONS,SUP-00028,2,3,0.78,False,True,True
29,PENTAWAVE INDUSTRIES,SUP-00029,19,1,0.83,False,True,True
30,PENTAWAVE MANUFACTURING,SUP-00030,17,8,0.71,False,True,True
31,VERTEX SEMICONDUCTORS,SUP-00031,8,6,0.73,False,True,True
32,VERTEX COMPONENTS,SUP-00032,16,9,0.78,False,True,True
33,VERTEX MATERIALS,SUP-00033,22,2,0.83,False,True,True
34,VERTEX ELECTRONICS,SUP-00034,11,9,0.65,False,True,True
35,VERTEX TECHNOLOGIES,SUP-00035,8,9,0.66,False,True,True
36,VERTEX PRECISION,SUP-00036,17,5,0.91,False,True,True
37,VERTEX SYSTEMS,SUP-00037,8,3,0.85,False,True,True
38,VERTEX SOLUTIONS,SUP-00038,20,1,0.94,False,True,True
39,VERTEX INDUSTRIES,SUP-00039,19,1,0.74,False,True,True
40,VERTEX MANUFACTURING,SUP-00040,2,8,0.74,False,True,True
41,SOLARIS SEMICONDUCTORS,SUP-00041,17,5,0.93,False,True,True
42,SOLARIS COMPONENTS,SUP-00042,19,1,0.90,False,True,True
43,SOLARIS MATERIALS,SUP-00043,2,4,0.76,False,True,True
44,SOLARIS ELECTRONICS,SUP-00044,1,4,0.95,False,True,True
45,SOLARIS TECHNOLOGIES,SUP-00045,19,10,0.98,False,True,True
46,SOLARIS PRECISION,SUP-00046,10,8,0.95,False,True,True
47,SOLARIS SYSTEMS,SUP-00047,7,7,0.77,False,True,True
48,SOLARIS SOLUTIONS,SUP-00048,13,6,0.62,False,True,True
49,SOLARIS INDUSTRIES,SUP-00049,6,8,0.85,False,True,True
50,SOLARIS MANUFACTURING,SUP-00050,19,8,0.94,False,True,True
51,QUANTUM SEMICONDUCTORS,SUP-00051,14,11,0.78,False,True,True
52,QUANTUM COMPONENTS,SUP-00052,1,6,0.72,False,True,True
53,QUANTUM MATERIALS,SUP-00053,23,2,0.89,False,True,True
54,QUANTUM ELECTRONICS,SUP-00054,23,3,0.64,False,True,True
55,QUANTUM TECHNOLOGIES,SUP-00055,15,4,0.67,False,True,True
56,QUANTUM PRECISION,SUP-00056,17,9,0.94,False,True,True
57,QUANTUM SYSTEMS,SUP-00057,16,9,0.68,False,True,True
58,QUANTUM SOLUTIONS,SUP-00058,4,6,0.75,False,True,True
59,QUANTUM INDUSTRIES,SUP-00059,10,12,0.66,False,True,True
60,QUANTUM MANUFACTURING,SUP-00060,9,10,0.61,False,True,True
61,APEX SEMICONDUCTORS,SUP-00061,19,6,0.86,False,True,True
62,APEX COMPONENTS,SUP-00062,7,2,0.90,False,True,True
63,APEX MATERIALS,SUP-00063,15,2,0.91,False,True,True
64,APEX ELECTRONICS,SUP-00064,3,10,0.98,False,True,True
65,APEX TECHNOLOGIES,SUP-00065,22,12,0.64,False,True,True
66,APEX PRECISION,SUP-00066,24,8,0.99,False,True,True
67,APEX SYSTEMS,SUP-00067,9,3,0.67,False,True,True
68,APEX SOLUTIONS,SUP-00068,7,3,0.83,False,True,True
69,APEX INDUSTRIES,SUP-00069,13,5,0.86,False,True,True
70,APEX MANUFACTURING,SUP-00070,4,2,0.65,False,True,True
71,ORION SEMICONDUCTORS,SUP-00071,11,1,0.78,False,True,True
72,ORION COMPONENTS,SUP-00072,12,10,0.64,False,True,True
73,ORION MATERIALS,SUP-00073,9,1,0.98,False,True,True
74,ORION ELECTRONICS,SUP-00074,15,11,0.78,False,True,True
75,ORION TECHNOLOGIES,SUP-00075,18,6,0.74,False,True,True
76,ORION PRECISION,SUP-00076,19,11,0.78,False,True,True
77,ORION SYSTEMS,SUP-00077,1,11,0.70,False,True,True
78,ORION SOLUTIONS,SUP-00078,20,6,0.95,False,True,True
79,ORION INDUSTRIES,SUP-00079,20,6,0.69,False,True,True
80,ORION MANUFACTURING,SUP-00080,1,3,0.64,False,True,True
81,TITAN SEMICONDUCTORS,SUP-00081,17,9,0.60,False,True,True
82,TITAN COMPONENTS,SUP-00082,15,4,0.75,False,True,True
83,TITAN MATERIALS,SUP-00083,9,9,0.80,False,True,True
84,TITAN ELECTRONICS,SUP-00084,23,11,0.70,False,True,True
85,TITAN TECHNOLOGIES,SUP-00085,9,12,0.89,False,True,True
86,TITAN PRECISION,SUP-00086,3,2,0.92,False,True,True
87,TITAN SYSTEMS,SUP-00087,14,11,0.84,False,True,True
88,TITAN SOLUTIONS,SUP-00088,4,12,0.73,False,True,True
89,TITAN INDUSTRIES,SUP-00089,13,6,0.96,False,True,True
90,TITAN MANUFACTURING,SUP-00090,23,3,0.81,False,True,True
91,ZENITH SEMICONDUCTORS,SUP-00091,10,12,0.84,False,True,True
92,ZENITH COMPONENTS,SUP-00092,2,12,0.60,False,True,True
93,ZENITH MATERIALS,SUP-00093,5,10,0.80,False,True,True
94,ZENITH ELECTRONICS,SUP-00094,7,5,0.96,False,True,True
95,ZENITH TECHNOLOGIES,SUP-00095,8,11,0.94,False,True,True
96,ZENITH PRECISION,SUP-00096,24,4,0.67,False,True,True
97,ZENITH SYSTEMS,SUP-00097,3,8,0.88,False,True,True
98,ZENITH SOLUTIONS,SUP-00098,23,11,0.88,False,True,True
99,ZENITH INDUSTRIES,SUP-00099,2,9,0.63,False,True,True
100,ZENITH MANUFACTURING,SUP-00100,9,4,0.80,False,True,True
101,NOVA SEMICONDUCTORS,SUP-00101,23,1,0.97,False,True,True
102,NOVA COMPONENTS,SUP-00102,19,5,0.84,False,True,True
103,NOVA MATERIALS,SUP-00103,15,10,0.60,False,True,True
104,NOVA ELECTRONICS,SUP-00104,14,10,0.78,False,True,True
105,NOVA TECHNOLOGIES,SUP-00105,11,4,0.78,False,True,True
106,NOVA PRECISION,SUP-00106,12,3,0.60,False,True,True
107,NOVA SYSTEMS,SUP-00107,5,12,0.60,False,True,True
108,NOVA SOLUTIONS,SUP-00108,18,5,0.73,False,True,True
109,NOVA INDUSTRIES,SUP-00109,7,12,0.68,False,True,True
110,NOVA MANUFACTURING,SUP-00110,21,2,0.86,False,True,True
111,PRISM SEMICONDUCTORS,SUP-00111,4,5,0.94,False,True,True
112,PRISM COMPONENTS,SUP-00112,17,1,0.65,False,True,True
113,PRISM MATERIALS,SUP-00113,10,1,0.68,False,True,True
114,PRISM ELECTRONICS,SUP-00114,16,7,0.60,False,True,True
115,PRISM TECHNOLOGIES,SUP-00115,24,10,0.74,False,True,True
116,PRISM PRECISION,SUP-00116,17,2,0.93,False,True,True
117,PRISM SYSTEMS,SUP-00117,14,4,0.96,False,True,True
118,PRISM SOLUTIONS,SUP-00118,6,11,0.88,False,True,True
119,PRISM INDUSTRIES,SUP-00119,3,2,0.95,False,True,True
120,PRISM MANUFACTURING,SUP-00120,12,9,0.74,False,True,True
121,ATLAS SEMICONDUCTORS,SUP-00121,24,1,0.79,False,True,True
122,ATLAS COMPONENTS,SUP-00122,14,9,0.76,False,True,True
123,ATLAS MATERIALS,SUP-00123,7,4,0.81,False,True,True
124,ATLAS ELECTRONICS,SUP-00124,8,4,0.63,False,True,True
125,ATLAS TECHNOLOGIES,SUP-00125,7,10,0.85,False,True,True
126,ATLAS PRECISION,SUP-00126,14,3,0.84,False,True,True
127,ATLAS SYSTEMS,SUP-00127,14,12,0.61,False,True,True
128,ATLAS SOLUTIONS,SUP-00128,15,6,0.91,False,True,True
129,ATLAS INDUSTRIES,SUP-00129,12,4,0.70,False,True,True
130,ATLAS MANUFACTURING,SUP-00130,16,7,0.76,False,True,True
131,ECHO SEMICONDUCTORS,SUP-00131,13,10,0.60,False,True,True
132,ECHO COMPONENTS,SUP-00132,6,5,0.78,False,True,True
133,ECHO MATERIALS,SUP-00133,8,11,0.79,False,True,True
134,ECHO ELECTRONICS,SUP-00134,12,6,0.62,False,True,True
135,ECHO TECHNOLOGIES,SUP-00135,9,10,0.97,False,True,True
136,ECHO PRECISION,SUP-00136,11,8,0.60,False,True,True
