SITE_ID,SUPPLIER_ID,SITE_NAME,CITY,COUNTRY_ID,LEAD_TIME_DAYS,IS_PRIMARY,ACTIVE
211,80,ORION MANUFACTURING - Austin,Austin,1,50,True,True
212,80,ORION MANUFACTURING - Guadalajara,Guadalajara,3,43,False,True
213,80,ORION MANUFACTURING - Munich,Munich,5,39,False,True
214,80,ORION MANUFACTURING - Penang,Penang,15,46,False,True
842,312,GAMMA COMPONENTS - Suzhou,Suzhou,11,42,True,True
519,195,STELLAR TECHNOLOGIES - Austin,Austin,1,69,True,True
520,195,STELLAR TECHNOLOGIES - Munich,Munich,5,39,False,True
521,195,STELLAR TECHNOLOGIES - Santiago,Santiago,24,31,False,True
537,201,CREST SEMICONDUCTORS - Taichung,Taichung,14,49,True,True
538,201,CREST SEMICONDUCTORS - Singapore,Singapore,18,59,False,True
367,141,CIPHER SEMICONDUCTORS - Monterrey,Monterrey,3,51,True,True
368,141,CIPHER SEMICONDUCTORS - Milan,Milan,9,70,False,True
369,141,CIPHER SEMICONDUCTORS - Bangkok,Bangkok,17,21,False,True
373,143,CIPHER MATERIALS - Stuttgart,Stuttgart,5,48,True,True
374,143,CIPHER MATERIALS - Tokyo,Tokyo,12,19,False,True
121,46,SOLARIS PRECISION - Guadalajara,Guadalajara,3,70,True,True
122,46,SOLARIS PRECISION - Shanghai,Shanghai,11,54,False,True
123,46,SOLARIS PRECISION - Bangkok,Bangkok,17,39,False,True
993,368,BETA SOLUTIONS - Monterrey,Monterrey,3,45,True,True
994,368,BETA SOLUTIONS - Paris,Paris,6,49,False,True
995,368,BETA SOLUTIONS - Shenzhen,Shenzhen,11,28,False,True
996,368,BETA SOLUTIONS - Seoul,Seoul,13,37,False,True
997,368,BETA SOLUTIONS - Hsinchu,Hsinchu,14,39,False,True
998,368,BETA SOLUTIONS - Bangkok,Bangkok,17,66,False,True
891,336,KAPPA PRECISION - Toronto,Toronto,2,46,True,True
892,336,KAPPA PRECISION - Shenzhen,Shenzhen,11,54,False,True
893,336,KAPPA PRECISION - Suzhou,Suzhou,11,18,False,True
1002,370,BETA MANUFACTURING - Guadalajara,Guadalajara,3,32,True,True
1003,370,BETA MANUFACTURING - Hsinchu,Hsinchu,14,38,False,True
1004,370,BETA MANUFACTURING - Manila,Manila,19,55,False,True
1135,418,NEXUS SOLUTIONS - Tokyo,Tokyo,12,57,True,True
454,173,IONIC MATERIALS - Monterrey,Monterrey,3,56,True,True
455,173,IONIC MATERIALS - Singapore,Singapore,18,52,False,True
789,290,OMEGA MANUFACTURING - Suzhou,Suzhou,11,21,True,True
790,290,OMEGA MANUFACTURING - Tokyo,Tokyo,12,63,False,True
791,290,OMEGA MANUFACTURING - Bangalore,Bangalore,21,49,False,True
366,140,ECHO MANUFACTURING - Jakarta,Jakarta,20,18,True,True
827,308,DELTA SOLUTIONS - Munich,Munich,5,26,True,True
828,308,DELTA SOLUTIONS - Stuttgart,Stuttgart,5,40,False,True
829,308,DELTA SOLUTIONS - Dongguan,Dongguan,11,64,False,True
830,308,DELTA SOLUTIONS - Seoul,Seoul,13,16,False,True
129,48,SOLARIS SOLUTIONS - Austin,Austin,1,61,True,True
130,48,SOLARIS SOLUTIONS - Tokyo,Tokyo,12,45,False,True
1110,410,TORUS MANUFACTURING - Amsterdam,Amsterdam,8,43,True,True
1111,410,TORUS MANUFACTURING - Shanghai,Shanghai,11,26,False,True
1112,410,TORUS MANUFACTURING - Chennai,Chennai,21,46,False,True
1113,410,TORUS MANUFACTURING - Santiago,Santiago,24,32,False,True
707,263,PULSE MATERIALS - Guadalajara,Guadalajara,3,56,True,True
708,263,PULSE MATERIALS - Stuttgart,Stuttgart,5,48,False,True
709,263,PULSE MATERIALS - London,London,7,44,False,True
710,263,PULSE MATERIALS - Amsterdam,Amsterdam,8,54,False,True
711,263,PULSE MATERIALS - Jakarta,Jakarta,20,72,False,True
323,121,ATLAS SEMICONDUCTORS - Seoul,Seoul,13,66,True,True
324,121,ATLAS SEMICONDUCTORS - Bogota,Bogota,23,27,False,True
553,207,CREST SYSTEMS - Shenzhen,Shenzhen,11,45,True,True
1033,381,LAMBDA SEMICONDUCTORS - Detroit,Detroit,1,19,True,True
1034,381,LAMBDA SEMICONDUCTORS - Guadalajara,Guadalajara,3,60,False,True
1035,381,LAMBDA SEMICONDUCTORS - Kuala Lumpur,Kuala Lumpur,15,38,False,True
980,362,BETA COMPONENTS - Detroit,Detroit,1,23,True,True
981,362,BETA COMPONENTS - Monterrey,Monterrey,3,61,False,True
982,362,BETA COMPONENTS - Munich,Munich,5,61,False,True
1068,392,IOTA COMPONENTS - Monterrey,Monterrey,3,52,True,True
1069,392,IOTA COMPONENTS - Sao Paulo,Sao Paulo,4,56,False,True
1070,392,IOTA COMPONENTS - Kuala Lumpur,Kuala Lumpur,15,57,False,True
649,242,MATRIX COMPONENTS - Amsterdam,Amsterdam,8,64,True,True
650,242,MATRIX COMPONENTS - Tokyo,Tokyo,12,29,False,True
651,242,MATRIX COMPONENTS - Jakarta,Jakarta,20,59,False,True
522,196,STELLAR PRECISION - Munich,Munich,5,59,True,True
523,196,STELLAR PRECISION - Shenzhen,Shenzhen,11,58,False,True
