RECEIPT_ID,PO_LINE_ID,RECEIPT_DATE,QUANTITY_RECEIVED,WAREHOUSE_ID,DAYS_VARIANCE
1,1,2026-01-09,653.00,25,-5
2,2,2026-05-01,137.00,24,-3
3,3,2026-02-18,658.00,23,-1
4,4,2024-03-06,59.00,2,0
5,5,2026-07-17,623.00,24,-4
6,6,2024-03-04,834.00,15,-5
7,7,2024-01-02,616.00,15,-2
8,8,2024-05-20,746.00,22,-1
9,9,2026-02-11,330.00,17,-2
10,10,2023-12-18,206.00,21,0
11,11,2025-07-30,89.00,5,-1
12,12,2025-03-05,62.00,14,0
13,13,2023-09-23,21.00,17,-1
14,14,2024-02-12,407.00,16,-2
15,15,2026-02-15,566.00,4,-4
16,16,2024-05-04,430.00,11,2
17,17,2025-01-07,798.00,20,9
18,18,2024-04-22,537.00,8,-5
19,19,2026-07-18,378.00,8,0
20,20,2025-04-05,964.00,23,-3
21,21,2023-09-05,595.00,18,-4
22,22,2025-01-12,190.00,12,-3
23,23,2024-08-30,237.00,12,-2
24,24,2026-05-23,807.00,2,0
25,25,2026-07-04,508.00,23,-5
26,26,2026-08-12,481.00,2,-5
27,27,2026-01-19,986.00,10,0
28,28,2024-05-04,754.00,13,-1
29,29,2025-10-17,486.00,7,3
30,30,2026-07-02,430.00,21,-2
31,31,2025-04-27,899.00,1,-2
32,32,2026-06-03,417.00,7,1
33,33,2025-12-03,126.00,7,-4
34,34,2023-07-20,863.00,8,-2
35,35,2023-07-23,648.00,20,0
36,36,2023-06-14,150.00,24,-1
37,37,2025-10-02,470.00,14,9
38,38,2023-03-23,816.00,2,6
39,39,2024-10-11,916.00,4,-5
40,40,2026-09-24,790.00,15,-3
41,41,2026-10-17,743.00,16,-3
42,42,2025-12-08,14.00,16,-3
43,43,2025-02-13,700.00,15,-4
44,44,2023-08-23,253.00,19,-4
45,45,2026-08-11,655.00,5,0
46,46,2024-10-10,49.00,21,-4
47,47,2025-01-08,761.00,12,-4
48,48,2023-11-03,190.00,1,-3
49,49,2024-11-03,129.00,16,0
50,50,2024-12-01,221.00,3,-2
51,51,2023-06-07,395.00,10,-5
52,52,2025-08-17,128.00,4,-1
53,53,2025-07-10,603.00,20,-4
54,54,2024-08-05,449.00,9,-4
55,55,2025-08-30,900.00,18,-3
56,56,2024-10-15,211.00,4,-2
57,57,2026-09-17,426.00,7,-4
58,58,2025-09-17,402.00,9,-5
59,59,2024-04-07,585.00,23,-5
60,60,2025-01-03,249.00,2,-4
61,61,2025-05-21,643.00,9,0
62,62,2023-12-30,537.00,16,-3
63,63,2026-05-30,431.00,13,0
64,64,2025-07-18,497.00,25,1
65,65,2024-08-08,349.00,13,10
66,66,2024-03-01,777.00,25,0
67,67,2023-07-25,791.00,12,-3
68,68,2023-07-09,162.00,19,0
69,69,2026-07-26,738.00,21,-1
70,70,2026-05-07,818.00,20,-1
71,71,2026-05-27,461.00,19,-1
72,72,2026-09-22,616.00,25,-4
73,73,2026-03-01,367.00,11,-3
74,74,2026-04-29,142.00,23,0
75,75,2023-05-25,674.00,6,0
76,76,2025-10-11,465.00,12,-2
77,77,2025-05-07,14.00,2,-3
78,78,2023-08-28,938.00,18,-1
79,79,2023-04-30,507.00,18,0
80,80,2025-10-13,441.00,11,-1
81,81,2023-10-03,528.00,5,-3
82,82,2024-01-10,756.00,21,2
83,83,2026-02-20,475.00,2,0
84,84,2024-06-01,336.00,23,0
85,85,2024-11-18,968.00,3,-1
86,86,2025-05-09,195.00,22,-1
87,87,2026-11-04,413.00,12,9
88,88,2023-12-05,548.00,12,7
89,89,2026-03-20,835.00,3,-4
90,90,2023-06-22,231.00,21,-1
91,91,2026-07-15,588.00,12,0
92,92,2025-05-06,1.00,21,-3
93,93,2024-10-12,483.00,16,-4
94,94,2025-09-23,61.00,8,-4
95,95,2025-03-27,9.00,5,-5
96,96,2023-10-20,116.00,21,3
97,97,2023-08-01,649.00,12,-4
98,98,2023-08-15,143.00,4,-2
99,99,2025-09-11,710.00,17,-5
100,100,2026-10-16,24.00,8,-1
101,101,2024-09-25,967.00,11,-1
102,102,2024-04-22,358.00,16,-3
103,103,2023-07-12,704.00,8,-5
104,104,2025-04-28,343.00,8,0
105,105,2024-07-24,73.00,12,-5
106,106,2024-05-10,199.00,5,-5
107,107,2024-10-04,282.00,8,-4
108,108,2024-08-22,693.00,3,-3
109,109,2024-04-08,326.00,9,-4
110,110,2023-10-21,21.00,4,-2
111,111,2025-09-24,605.00,5,-2
112,112,2025-11-10,386.00,7,0
113,113,2026-08-25,34.00,6,6
114,114,2025-05-02,928.00,25,-1
115,115,2025-07-30,754.00,10,-2
116,116,2026-06-08,337.00,5,-2
117,117,2025-02-03,419.00,2,0
118,118,2024-09-13,163.00,1,-5
119,119,2023-03-25,788.00,21,7
120,120,2023-06-11,401.00,25,1
121,121,2026-09-23,48.00,1,0
122,122,2023-08-21,724.00,25,0
123,123,2024-06-17,738.00,13,1
124,124,2025-04-11,661.00,25,-4
125,125,2023-07-08,768.00,15,-2
126,126,2026-11-03,907.00,5,-3
127,127,2025-10-24,168.00,19,-4
128,128,2024-05-18,513.00,19,-1
129,129,2025-01-22,987.00,22,-5
130,130,2026-02-06,901.00,16,-3
131,131,2024-01-09,10.00,16,0
132,132,2026-01-21,271.00,21,-2
133,133,2026-01-25,410.00,4,-5
134,134,2024-11-16,350.00,20,-5
135,135,2025-07-29,459.00,22,-3
136,136,2024-04-07,271.00,24,-5
137,137,2026-09-05,689.00,6,-5
138,138,2023-02-03,16.00,16,0
139,139,2026-05-01,820.00,7,3
140,140,2025-03-15,261.00,20,-3
141,141,2023-10-20,100.00,2,-3
142,142,2025-05-22,32.00,23,-3
143,143,2025-10-31,312.00,25,-5
144,144,2025-03-15,732.00,22,0
145,145,2023-06-03,249.00,17,4
146,146,2023-12-06,414.00,9,-5
147,147,2025-02-08,87.00,7,-5
148,148,2026-04-26,748.00,24,0
149,149,2025-09-05,890.00,24,3
150,150,2025-01-08,44.00,23,-2
151,151,2026-03-21,685.00,15,-4
152,152,2025-12-06,313.00,2,-5
153,153,2024-02-19,882.00,18,-2
154,154,2023-08-22,726.00,23,0
155,155,2024-11-05,395.00,11,-3
156,156,2024-10-27,624.00,4,-5
157,157,2024-02-17,281.00,18,-2
158,158,2026-08-27,605.00,13,-3
159,159,2026-06-10,690.00,11,-4
160,160,2023-05-12,220.00,15,-3
161,161,2023-04-24,939.00,5,-2
162,162,2024-02-29,501.00,11,-5
163,163,2025-05-20,457.00,22,-2
164,164,2025-11-28,644.00,1,-4
165,165,2025-08-11,442.00,15,0
166,166,2025-03-31,388.00,15,0
167,167,2024-07-08,330.00,23,-4
168,168,2025-08-14,575.00,7,-2
169,169,2026-03-12,591.00,23,0
170,170,2025-05-09,737.00,11,-5
171,171,2024-12-13,247.00,17,-3
172,172,2024-05-31,718.00,2,8
173,173,2024-09-02,576.00,7,-4
174,174,2023-03-16,352.00,14,0
175,175,2024-03-09,70.00,22,-2
176,176,2025-05-30,143.00,3,-2
177,177,2023-12-13,162.00,13,-2
178,178,2024-03-11,464.00,20,1
179,179,2024-05-14,423.00,10,-4
180,180,2024-04-16,401.00,22,-4
181,181,2026-07-25,445.00,16,-4
182,182,2026-04-05,467.00,17,-1
183,183,2026-01-20,482.00,7,-4
184,184,2026-10-06,661.00,12,-3
185,185,2023-09-06,490.00,18,-1
186,186,2023-08-25,331.00,22,0
187,187,2023-08-05,268.00,11,-3
188,188,2023-10-13,614.00,16,-2
189,189,2026-07-19,145.00,24,8
190,190,2025-01-18,79.00,23,-5
191,191,2024-01-06,316.00,21,-1
192,192,2024-04-24,873.00,23,0
193,193,2026-05-30,319.00,6,-4
194,194,2025-01-28,703.00,8,-1
195,195,2023-03-28,636.00,10,-2
196,196,2025-09-13,105.00,12,-1
197,197,2025-11-07,714.00,14,-1
198,198,2026-07-23,840.00,2,-4
199,199,2026-09-26,997.00,15,0
200,200,2024-01-06,555.00,18,0
201,201,2025-03-12,922.00,6,5
202,202,2026-04-17,822.00,9,-5
203,203,2023-07-17,710.00,6,-4
204,204,2026-02-05,120.00,9,-5
205,205,2023-08-17,634.00,3,-4
206,206,2024-07-24,961.00,25,0
207,207,2024-06-22,855.00,6,1
208,208,2025-08-02,655.00,22,-5
209,209,2025-01-23,536.00,23,-2
210,210,2026-05-16,111.00,17,0
211,211,2023-11-10,116.00,19,-3
212,212,2026-02-02,247.00,3,-5
213,213,2026-04-06,944.00,3,-5
214,214,2024-10-29,412.00,23,-2
215,215,2026-07-21,266.00,25,0
216,216,2026-01-15,906.00,7,0
217,217,2025-07-23,383.00,16,-5
218,218,2024-01-02,166.00,25,-4
219,219,2026-06-21,505.00,3,-2
220,220,2025-03-09,817.00,24,9
221,221,2023-08-18,140.00,7,-4
222,222,2025-07-12,39.00,19,-5
223,223,2026-05-23,455.00,24,-5
224,224,2023-04-10,650.00,12,0
225,225,2026-05-10,46.00,13,-4
226,226,2023-08-06,907.00,24,8
227,227,2024-01-26,542.00,9,-3
228,228,2024-08-22,14.00,5,0
229,229,2026-10-07,914.00,23,-2
230,230,2024-06-22,29.00,25,1
231,231,2024-02-09,39.00,17,-3
232,232,2023-12-18,842.00,16,-3
233,233,2025-09-25,349.00,24,-2
234,234,2024-01-15,425.00,21,-4
235,235,2024-03-25,92.00,8,-4
236,236,2024-01-21,335.00,8,-4
237,237,2025-12-05,324.00,4,-1
238,238,2024-06-16,782.00,1,-3
239,239,2023-05-07,455.00,21,-3
240,240,2023-06-15,862.00,10,1
241,241,2023-10-16,519.00,6,0
242,242,2024-08-26,761.00,2,-4
243,243,2026-05-11,592.00,12,-5
244,244,2024-08-31,133.00,14,-1
245,245,2023-06-15,827.00,1,-3
246,246,2023-03-13,599.00,25,-2
247,247,2023-08-19,976.00,6,-2
248,248,2025-10-26,568.00,23,0
249,249,2024-03-01,718.00,18,-4
250,250,2025-07-02,461.00,16,-3
251,251,2026-04-26,478.00,2,0
252,252,2026-04-04,879.00,2,6
253,253,2025-12-15,422.00,15,-2
254,254,2024-09-07,982.00,16,-3
255,255,2026-05-27,750.00,25,-1
256,256,2023-04-23,109.00,4,-3
257,257,2026-10-05,827.00,15,0
258,258,2024-07-19,685.00,12,1
259,259,2026-09-13,698.00,14,-3
260,260,2023-05-18,140.00,23,-4
261,261,2025-06-05,464.00,11,-2
262,262,2025-03-16,717.00,15,-4
263,263,2023-04-11,321.00,13,0
264,264,2023-05-01,758.00,10,-2
265,265,2024-11-24,260.00,7,8
266,266,2025-05-31,811.00,2,-1
267,267,2026-01-03,797.00,12,-3
268,268,2026-06-11,421.00,20,3
269,269,2024-06-07,416.00,12,-2
270,270,2026-11-04,688.00,6,-2
271,271,2026-01-24,249.00,10,-4
272,272,2023-04-20,581.00,25,-1
273,273,2023-04-12,998.00,19,-5
274,274,2024-09-19,345.00,8,-2
275,275,2026-08-16,723.00,6,-2
276,276,2023-04-13,680.00,4,-5
277,277,2024-08-13,44.00,13,-3
278,278,2023-04-19,959.00,5,2
279,279,2024-07-26,993.00,15,0
280,280,2026-07-19,110.00,9,-5
281,281,2025-12-07,190.00,20,-5
282,282,2024-04-10,534.00,12,-1
283,283,2025-10-03,230.00,20,-1
284,284,2025-05-07,319.00,18,-2
285,285,2023-08-27,672.00,4,-3
286,286,2024-08-27,443.00,3,-4
287,287,2023-03-18,906.00,19,-2
288,288,2023-06-08,230.00,25,-3
289,289,2026-09-06,276.00,8,-5
290,290,2023-09-29,426.00,18,-2
291,291,2025-01-28,701.00,23,-1
292,292,2023-06-22,943.00,4,0
293,293,2025-12-02,712.00,7,-3
294,294,2024-03-01,292.00,20,-2
295,295,2026-01-05,187.00,7,8
296,296,2023-06-24,169.00,4,-4
297,297,2025-11-25,663.00,24,-4
298,298,2023-06-18,581.00,12,-5
299,299,2025-03-21,310.00,2,-4
300,300,2023-07-25,934.00,20,-3
301,301,2024-12-15,28.00,9,-3
302,302,2026-05-28,857.00,24,0
303,303,2026-03-11,327.00,3,-5
304,304,2025-08-13,837.00,14,4
305,305,2023-04-30,459.00,3,0
306,306,2026-05-31,106.00,12,-4
307,307,2026-05-12,82.00,25,0
308,308,2023-03-15,89.00,4,-2
309,309,2023-10-28,876.00,8,-4
310,310,2024-09-11,525.00,1,0
311,311,2025-03-07,721.00,19,-2
312,312,2023-07-13,677.00,23,-1
313,313,2025-10-01,113.00,19,5
314,314,2024-03-27,344.00,25,6
315,315,2026-10-16,244.00,21,-1
316,316,2025-11-28,404.00,6,2
317,317,2026-11-05,88.00,15,-3
318,318,2023-08-23,647.00,20,-1
319,319,2023-11-12,542.00,3,-4
320,320,2025-10-24,491.00,20,-2
321,321,2026-10-31,409.00,6,-1
322,322,2026-10-06,925.00,13,-5
323,323,2025-03-18,450.00,4,-5
324,324,2026-10-08,170.00,10,-4
325,325,2023-09-11,744.00,11,9
326,326,2023-08-01,365.00,9,-4
327,327,2023-12-09,419.00,21,-3
328,328,2026-08-03,942.00,22,-5
329,329,2023-03-10,554.00,8,1
330,330,2025-08-21,105.00,6,0
331,331,2026-07-26,280.00,22,-3
332,332,2026-03-25,523.00,25,-2
333,333,2023-11-03,245.00,17,-1
334,334,2024-12-27,906.00,5,10
335,335,2025-03-17,670.00,18,-2
336,336,2023-05-09,32.00,13,8
337,337,2025-10-22,378.00,18,0
338,338,2023-04-14,550.00,19,-5
339,339,2023-10-20,607.00,23,-4
340,340,2024-10-23,926.00,18,4
341,341,2025-03-12,953.00,23,-2
342,342,2024-07-01,366.00,17,10
343,343,2025-05-05,413.00,23,-1
344,344,2025-05-08,499.00,9,-1
345,345,2026-02-01,116.00,19,-3
346,346,2024-09-03,896.00,14,-1
347,347,2025-05-29,620.00,21,0
348,348,2024-02-01,518.00,16,0
349,349,2025-03-06,400.00,18,-4
350,350,2026-11-11,606.00,25,-3
351,351,2025-03-24,164.00,13,-1
352,352,2023-12-26,476.00,3,-2
353,353,2024-11-03,785.00,18,-1
354,354,2023-09-23,1.00,21,-3
355,355,2026-07-05,482.00,15,-4
356,356,2024-07-15,58.00,3,-5
357,357,2026-01-04,317.00,5,-1
358,358,2026-02-10,245.00,8,-5
359,359,2025-04-09,586.00,5,-2
360,360,2025-11-05,218.00,25,3
361,361,2025-02-21,23.00,3,-5
362,362,2024-10-08,80.00,13,-1
363,363,2024-01-08,704.00,25,-5
364,364,2026-08-12,333.00,7,-5
365,365,2025-01-22,534.00,22,0
366,366,2023-10-23,996.00,18,-1
367,367,2023-11-25,261.00,14,0
368,368,2026-07-10,140.00,11,0
369,369,2025-02-18,641.00,8,-1
370,370,2023-07-13,821.00,4,-3
371,371,2024-02-08,905.00,1,-2
372,372,2024-01-22,738.00,12,-2
373,373,2023-08-26,833.00,20,-2
374,374,2023-07-14,279.00,15,7
375,375,2024-04-19,858.00,14,-5
376,376,2026-08-07,266.00,5,-4
377,377,2025-03-01,736.00,23,-1
378,378,2023-12-05,179.00,14,-2
379,379,2024-04-11,12.00,22,-1
380,380,2026-08-04,439.00,11,-3
381,381,2025-09-16,175.00,19,-4
382,382,2025-11-19,870.00,7,-1
383,383,2026-08-29,881.00,15,-4
384,384,2023-02-08,946.00,18,-5
385,385,2026-07-16,157.00,12,0
386,386,2025-08-17,708.00,25,0
387,387,2025-11-14,851.00,20,0
388,388,2025-09-07,890.00,18,-5
389,389,2025-04-02,267.00,18,-3
390,390,2025-01-08,496.00,22,2
391,391,2026-10-14,978.00,6,-5
392,392,2025-01-16,965.00,20,-3
393,393,2024-08-29,141.00,22,-4
394,394,2024-02-27,107.00,24,-3
395,395,2026-08-25,182.00,22,-2
396,396,2025-08-17,625.00,4,-2
397,397,2026-08-27,910.00,3,5
398,398,2023-03-18,560.00,18,-3
399,399,2024-11-16,315.00,11,-2
400,400,2023-03-01,324.00,1,-1
401,401,2024-03-18,763.00,9,-4
402,402,2023-09-26,978.00,18,0
403,403,2025-07-14,528.00,7,-3
404,404,2026-04-11,75.00,5,-2
405,405,2023-07-08,188.00,2,-4
406,406,2024-01-04,581.00,8,5
407,407,2026-08-20,976.00,24,-1
408,408,2023-05-15,711.00,24,-2
409,409,2023-11-17,951.00,16,-3
410,410,2026-06-16,744.00,25,-1
411,411,2024-05-08,568.00,21,3
412,412,2024-11-16,307.00,8,-1
413,413,2024-02-02,398.00,25,-4
414,414,2024-09-20,592.00,22,-1
415,415,2024-01-08,956.00,15,-3
416,416,2023-09-21,908.00,5,-5
417,417,2023-09-13,217.00,21,-3
418,418,2026-08-22,877.00,23,-5
419,419,2026-07-28,986.00,22,-2
420,420,2024-07-21,791.00,1,7
421,421,2023-05-07,841.00,25,8
422,422,2024-04-25,741.00,14,-2
423,423,2024-11-29,386.00,16,-5
424,424,2024-05-21,815.00,9,-2
425,425,2024-01-08,814.00,19,-1
426,426,2025-06-16,474.00,4,7
427,427,2024-07-11,457.00,13,-3
428,428,2025-12-06,617.00,22,-1
429,429,2026-01-13,519.00,7,-3
430,430,2025-12-27,701.00,22,-1
431,431,2023-08-18,49.00,3,-5
432,432,2023-07-27,221.00,22,-5
433,433,2025-01-16,773.00,5,2
434,434,2023-12-15,619.00,11,-4
435,435,2023-11-27,549.00,10,-4
436,436,2023-02-21,789.00,5,-5
437,437,2026-02-15,893.00,19,-1
438,438,2026-09-14,702.00,8,9
439,439,2026-10-24,539.00,4,0
440,440,2023-05-15,655.00,20,6
441,441,2023-02-16,757.00,7,-3
442,442,2025-08-03,259.00,18,-5
443,443,2024-10-07,788.00,14,-1
444,444,2026-01-11,64.00,13,-3
445,445,2026-03-05,848.00,6,1
446,446,2025-12-13,913.00,15,-3
447,447,2026-08-31,281.00,15,-4
448,448,2024-02-10,590.00,22,-2
449,449,2025-08-06,733.00,21,-2
450,450,2025-05-18,109.00,1,0
451,451,2025-10-23,931.00,11,-3
452,452,2024-04-22,799.00,3,8
453,453,2025-07-07,497.00,10,-2
454,454,2025-06-02,906.00,14,0
455,455,2026-04-15,296.00,5,0
456,456,2024-09-15,447.00,12,0
457,457,2023-11-13,491.00,7,-3
458,458,2024-02-06,233.00,18,-2
459,459,2025-07-06,34.00,9,0
460,460,2025-05-19,774.00,11,-5
461,461,2023-06-26,172.00,22,6
462,462,2023-12-26,364.00,16,-2
463,463,2024-12-27,232.00,5,-1
464,464,2025-04-03,863.00,17,3
465,465,2024-07-14,712.00,18,-1
466,466,2025-09-07,814.00,2,0
467,467,2024-01-02,606.00,23,-1
468,468,2024-10-07,340.00,3,6
469,469,2025-08-10,597.00,9,-2
