NCR_ID,INSPECTION_ID,SUPPLIER_ID,PART_ID,PLANT_ID,NCR_DATE,SEVERITY,ROOT_CAUSE,DISPOSITION,STATUS
1,4995,320,1733,9,2024-01-06,MINOR,Cracked substrate from shock,SCRAP,OPEN
2,1943,2,21507,12,2024-11-01,MAJOR,Unapproved substitution,RETURN,CLOSED
3,985,365,16348,1,2025-07-03,MINOR,Documentation mismatch,USE_AS_IS,OPEN
4,8059,55,15995,1,2023-04-12,MINOR,Wrong revision shipped,REWORK,CLOSED
5,6640,2,25591,10,2025-09-19,MINOR,Wrong revision shipped,SCRAP,CLOSED
6,3515,15,25248,7,2024-01-05,MAJOR,Unapproved substitution,RETURN,CLOSED
7,7108,123,9587,12,2023-12-19,MAJOR,Electrical test failure,RETURN,CLOSED
8,7390,2,26485,6,2026-08-30,CRITICAL,Dimensional out-of-spec,USE_AS_IS,CLOSED
9,2235,182,21875,9,2025-02-19,MINOR,Unapproved substitution,REWORK,CLOSED
10,4353,2,628,4,2024-07-30,MAJOR,Surface finish degradation,REWORK,CLOSED
11,9894,2,23207,5,2023-12-19,MINOR,Documentation mismatch,REWORK,CLOSED
12,1699,2,10595,1,2024-08-25,CRITICAL,Electrical test failure,REWORK,CLOSED
13,5024,3,25764,7,2024-10-06,CRITICAL,Solder joint defect,SCRAP,CLOSED
14,7061,4,20942,12,2024-04-09,MINOR,Solder joint defect,SCRAP,CLOSED
15,9661,318,4543,7,2024-08-23,MINOR,Dimensional out-of-spec,RETURN,CLOSED
16,1941,99,19552,12,2023-05-24,MINOR,Electrical test failure,REWORK,OPEN
17,9146,3,24883,12,2024-03-15,CRITICAL,Dimensional out-of-spec,SCRAP,CLOSED
18,954,428,1936,2,2025-03-06,CRITICAL,Documentation mismatch,RETURN,CLOSED
19,1271,2,26354,11,2025-04-09,MINOR,Cracked substrate from shock,USE_AS_IS,CLOSED
20,4971,79,6823,6,2025-11-27,CRITICAL,Unapproved substitution,USE_AS_IS,CLOSED
21,4414,267,6890,9,2024-12-20,MAJOR,Documentation mismatch,REWORK,CLOSED
22,6228,1,17386,11,2026-01-06,MAJOR,Solder joint defect,SCRAP,CLOSED
23,4366,360,14779,9,2024-12-12,MINOR,Electrical test failure,RETURN,CLOSED
24,7484,496,8917,3,2026-02-03,MAJOR,Wrong revision shipped,RETURN,CLOSED
