PO_ID,PO_NUMBER,SUPPLIER_ID,PLANT_ID,ORDER_DATE,CURRENCY_CODE,STATUS
1,PO-0000001,495,2,2025-01-19,USD,RECEIVED
2,PO-0000002,443,2,2023-05-19,USD,RECEIVED
3,PO-0000003,485,1,2024-06-28,USD,RECEIVED
4,PO-0000004,59,8,2025-06-13,USD,RECEIVED
5,PO-0000005,140,5,2026-08-22,USD,OPEN
6,PO-0000006,15,9,2023-06-04,USD,RECEIVED
7,PO-0000007,108,7,2024-06-26,USD,RECEIVED
8,PO-0000008,390,11,2024-03-14,USD,RECEIVED
9,PO-0000009,235,9,2025-04-01,USD,RECEIVED
10,PO-0000010,353,5,2025-07-18,USD,RECEIVED
11,PO-0000011,394,8,2024-04-04,USD,RECEIVED
12,PO-0000012,199,11,2026-02-07,USD,RECEIVED
13,PO-0000013,24,12,2024-05-11,USD,RECEIVED
14,PO-0000014,61,8,2023-04-14,USD,PARTIAL
15,PO-0000015,161,5,2023-07-17,USD,RECEIVED
16,PO-0000016,441,7,2024-11-29,USD,PARTIAL
17,PO-0000017,146,3,2024-02-07,USD,RECEIVED
18,PO-0000018,454,9,2024-05-02,USD,RECEIVED
19,PO-0000019,271,2,2025-08-26,USD,RECEIVED
20,PO-0000020,471,1,2026-01-03,USD,RECEIVED
21,PO-0000021,414,10,2025-11-12,USD,CANCELLED
22,PO-0000022,228,7,2024-02-25,USD,RECEIVED
23,PO-0000023,366,12,2025-09-16,USD,RECEIVED
24,PO-0000024,484,6,2026-07-09,USD,RECEIVED
25,PO-0000025,363,1,2023-10-10,USD,OPEN
26,PO-0000026,392,4,2025-12-16,USD,RECEIVED
27,PO-0000027,440,11,2025-08-26,USD,OPEN
28,PO-0000028,344,1,2023-12-17,USD,CANCELLED
29,PO-0000029,10,3,2025-11-24,USD,RECEIVED
30,PO-0000030,403,1,2024-12-24,USD,RECEIVED
31,PO-0000031,17,8,2023-07-21,USD,RECEIVED
32,PO-0000032,260,6,2025-01-03,USD,RECEIVED
33,PO-0000033,16,9,2024-09-30,USD,RECEIVED
34,PO-0000034,258,2,2023-08-12,USD,RECEIVED
35,PO-0000035,103,9,2024-03-21,USD,CANCELLED
36,PO-0000036,472,9,2024-03-22,USD,CANCELLED
37,PO-0000037,265,5,2023-01-02,USD,CANCELLED
38,PO-0000038,460,3,2026-04-20,USD,RECEIVED
39,PO-0000039,420,1,2026-08-17,USD,RECEIVED
40,PO-0000040,35,1,2023-12-31,USD,OPEN
41,PO-0000041,6,8,2026-04-09,USD,CANCELLED
42,PO-0000042,217,5,2025-10-30,USD,OPEN
43,PO-0000043,327,1,2023-09-08,USD,RECEIVED
44,PO-0000044,178,4,2026-06-10,USD,RECEIVED
45,PO-0000045,297,4,2023-03-17,USD,RECEIVED
46,PO-0000046,471,10,2024-02-13,USD,RECEIVED
47,PO-0000047,118,8,2023-06-05,USD,RECEIVED
48,PO-0000048,335,7,2026-04-02,USD,RECEIVED
49,PO-0000049,345,6,2025-04-02,USD,RECEIVED
50,PO-0000050,58,8,2024-12-06,USD,RECEIVED
51,PO-0000051,427,8,2025-05-14,USD,RECEIVED
52,PO-0000052,210,11,2024-10-20,USD,RECEIVED
53,PO-0000053,401,6,2023-08-21,USD,CANCELLED
54,PO-0000054,19,2,2024-12-20,USD,RECEIVED
55,PO-0000055,207,3,2024-06-18,USD,RECEIVED
56,PO-0000056,307,4,2023-02-07,USD,RECEIVED
57,PO-0000057,481,9,2025-10-11,USD,RECEIVED
58,PO-0000058,108,9,2024-10-30,USD,OPEN
59,PO-0000059,40,6,2026-04-10,USD,RECEIVED
60,PO-0000060,290,12,2026-09-28,USD,CANCELLED
61,PO-0000061,137,10,2024-08-14,USD,CANCELLED
62,PO-0000062,275,6,2023-09-14,USD,RECEIVED
63,PO-0000063,131,2,2024-05-05,USD,RECEIVED
64,PO-0000064,163,2,2024-01-27,USD,RECEIVED
65,PO-0000065,219,10,2025-11-14,USD,RECEIVED
66,PO-0000066,134,12,2024-10-26,USD,RECEIVED
67,PO-0000067,144,8,2024-09-11,USD,RECEIVED
68,PO-0000068,321,3,2024-04-22,USD,RECEIVED
69,PO-0000069,83,3,2025-04-23,USD,CANCELLED
70,PO-0000070,349,5,2024-07-30,USD,RECEIVED
71,PO-0000071,64,2,2023-03-17,USD,RECEIVED
72,PO-0000072,251,1,2023-04-19,USD,CANCELLED
73,PO-0000073,140,10,2025-07-03,USD,RECEIVED
74,PO-0000074,485,1,2025-08-26,USD,RECEIVED
75,PO-0000075,67,11,2023-10-16,USD,PARTIAL
76,PO-0000076,206,6,2026-01-19,USD,RECEIVED
77,PO-0000077,155,11,2026-03-24,USD,RECEIVED
78,PO-0000078,117,11,2023-07-30,USD,CANCELLED
79,PO-0000079,384,6,2026-07-09,USD,RECEIVED
80,PO-0000080,224,6,2023-04-20,USD,RECEIVED
81,PO-0000081,117,3,2023-07-24,USD,RECEIVED
82,PO-0000082,317,9,2023-11-27,USD,RECEIVED
83,PO-0000083,323,4,2025-02-04,USD,CANCELLED
84,PO-0000084,349,9,2024-12-01,USD,RECEIVED
85,PO-0000085,111,11,2026-04-25,USD,RECEIVED
86,PO-0000086,233,12,2023-03-01,USD,RECEIVED
87,PO-0000087,115,2,2023-09-10,USD,RECEIVED
88,PO-0000088,470,11,2023-07-24,USD,RECEIVED
89,PO-0000089,88,12,2026-03-19,USD,PARTIAL
90,PO-0000090,417,6,2024-05-21,USD,RECEIVED
91,PO-0000091,463,3,2025-04-11,USD,RECEIVED
92,PO-0000092,498,12,2025-10-21,USD,RECEIVED
93,PO-0000093,486,12,2023-09-28,USD,RECEIVED
94,PO-0000094,317,10,2025-06-09,USD,RECEIVED
95,PO-0000095,431,5,2025-01-06,USD,RECEIVED
96,PO-0000096,136,11,2024-08-17,USD,RECEIVED
97,PO-0000097,24,4,2026-07-21,USD,RECEIVED
