PO_LINE_ID,PO_ID,PART_ID,QUANTITY,UNIT_PRICE,PROMISE_DATE
1,1,4995,653.00,203.69,2026-01-14
2,1,21943,137.00,256.78,2026-05-04
3,1,10985,658.00,49.14,2026-02-19
4,2,18059,59.00,351.04,2024-03-06
5,2,16640,746.00,321.09,2026-07-21
6,2,13515,834.00,185.64,2024-03-09
7,3,27108,616.00,26.72,2024-01-04
8,3,7390,746.00,189.38,2024-05-21
9,3,12235,330.00,372.31,2026-02-13
10,4,24353,206.00,63.79,2023-12-18
11,4,19894,89.00,384.19,2025-07-31
12,4,11699,62.00,373.53,2025-03-05
13,5,5024,21.00,493.46,2023-09-24
14,5,17061,407.00,470.53,2024-02-14
15,5,29661,566.00,308.67,2026-02-19
16,6,11941,430.00,81.48,2024-05-02
17,6,19146,798.00,307.82,2024-12-29
18,6,10954,684.00,369.77,2024-04-27
19,7,21271,413.00,397.78,2026-07-18
20,7,14971,964.00,376.28,2025-04-08
21,7,24414,595.00,303.16,2023-09-09
22,8,16228,190.00,470.40,2025-01-15
23,8,24366,237.00,324.09,2024-09-01
24,8,27484,807.00,105.45,2026-05-23
25,9,11363,508.00,301.32,2026-07-09
26,9,12392,481.00,84.50,2026-08-17
27,9,22440,986.00,214.18,2026-01-19
28,10,1344,754.00,309.10,2024-05-05
29,10,22010,600.00,145.48,2025-10-14
30,10,21403,430.00,346.73,2026-07-04
31,11,18017,899.00,33.41,2025-04-29
32,11,22760,417.00,475.83,2026-06-02
33,11,16,126.00,446.28,2025-12-07
34,12,14758,863.00,367.93,2023-07-22
35,12,23603,648.00,1.35,2023-07-23
36,12,10472,150.00,366.56,2023-06-15
37,13,1265,470.00,96.01,2025-09-23
38,13,5960,816.00,25.55,2023-03-17
39,13,23420,916.00,132.04,2024-10-16
40,14,20035,790.00,221.04,2026-09-27
41,14,18506,743.00,276.24,2026-10-20
42,14,28217,14.00,154.83,2025-12-11
43,15,2827,700.00,38.80,2025-02-17
44,15,10178,253.00,355.06,2023-08-27
45,15,4297,655.00,199.65,2026-08-11
46,16,17971,49.00,183.68,2024-10-14
47,16,16618,761.00,436.05,2025-01-12
48,16,2335,190.00,52.67,2023-11-06
49,17,11845,129.00,268.52,2024-11-03
50,17,24558,221.00,335.95,2024-12-03
51,17,9427,395.00,314.04,2023-06-12
52,18,9710,128.00,376.28,2025-08-18
53,18,2401,603.00,255.82,2025-07-14
54,18,14519,449.00,25.59,2024-08-09
55,19,14207,900.00,89.74,2025-09-02
56,19,6807,211.00,148.97,2024-10-17
57,19,4481,426.00,246.04,2026-09-21
58,20,5608,402.00,326.98,2025-09-22
59,20,19540,585.00,244.25,2024-04-12
60,20,17290,249.00,358.16,2025-01-07
61,21,1137,643.00,231.31,2025-05-21
62,21,5275,537.00,31.96,2024-01-02
63,21,3631,431.00,82.00,2026-05-30
64,22,27663,497.00,365.21,2025-07-17
65,22,15219,349.00,207.68,2024-07-29
66,22,5134,777.00,218.14,2024-03-01
67,23,15144,791.00,450.89,2023-07-28
68,23,21321,162.00,404.97,2023-07-09
69,23,18583,738.00,357.13,2026-07-27
70,24,9349,818.00,179.16,2026-05-08
71,24,19564,461.00,53.75,2026-05-28
72,24,24251,616.00,424.28,2026-09-26
73,25,7140,367.00,365.34,2026-03-04
74,25,17985,142.00,54.08,2026-04-29
75,25,27567,674.00,461.08,2023-05-25
76,26,11706,465.00,241.84,2025-10-13
77,26,5155,14.00,209.88,2025-05-10
78,26,2617,938.00,229.40,2023-08-29
