INSPECTION_ID,RECEIPT_ID,PART_ID,SUPPLIER_ID,INSPECTION_DATE,SAMPLE_SIZE,DEFECT_COUNT,RESULT,PPM
1,34995,24314,320,2025-12-08,168,0,PASS,0.0
2,81943,10478,129,2026-03-22,399,0,PASS,0.0
3,40985,14689,365,2026-01-12,664,4,CONDITIONAL,6024.1
4,78059,19580,55,2024-01-10,772,1,PASS,1295.3
5,16640,917,60,2026-06-04,853,2,PASS,2344.7
6,43515,1605,15,2024-02-12,202,4,CONDITIONAL,19802.0
7,87108,29647,123,2023-12-13,243,2,PASS,8230.5
8,37390,26147,389,2024-03-30,273,2,PASS,7326.0
9,42235,19581,182,2026-01-19,696,0,PASS,0.0
10,84353,10577,330,2023-11-04,355,1,PASS,2816.9
11,49894,10160,370,2025-06-25,572,2,PASS,3496.5
12,11699,8303,304,2025-01-14,136,2,PASS,14705.9
13,35024,28632,297,2023-08-02,994,4,CONDITIONAL,4024.1
14,17061,25688,4,2023-12-18,459,4,CONDITIONAL,8714.6
15,59661,19397,318,2025-12-28,634,0,PASS,0.0
16,11941,14671,99,2024-04-16,867,3,PASS,3460.2
17,49146,26379,233,2024-11-13,627,4,CONDITIONAL,6379.6
18,10954,5565,428,2024-03-01,773,0,PASS,0.0
19,81271,22574,229,2026-06-27,962,4,CONDITIONAL,4158.0
20,44971,13825,79,2025-02-21,177,1,PASS,5649.7
21,54414,26206,267,2023-08-18,108,4,CONDITIONAL,37037.0
22,16228,18091,491,2024-12-16,206,1,PASS,4854.4
23,24366,25968,360,2024-08-01,252,1,PASS,3968.3
24,87484,29658,496,2026-04-01,858,4,CONDITIONAL,4662.0
25,41363,26389,83,2026-06-14,561,1,PASS,1782.5
26,72392,27292,401,2026-07-16,343,0,PASS,0.0
27,22440,19847,369,2026-01-05,145,1,PASS,6896.6
28,31344,5785,361,2024-03-15,677,4,CONDITIONAL,5908.4
29,82010,9471,499,2025-08-22,544,3,PASS,5514.7
30,81403,241,124,2026-05-17,539,1,PASS,1855.3
31,78017,25700,292,2025-04-03,337,0,PASS,0.0
32,52760,7758,34,2026-05-07,202,0,PASS,0.0
33,16,5997,79,2025-11-14,379,0,PASS,0.0
34,74758,12914,244,2023-05-25,819,0,PASS,0.0
35,23603,28989,86,2023-06-09,625,3,PASS,4800.0
36,40472,12741,107,2023-04-30,222,3,PASS,13513.5
37,1265,9641,52,2025-09-06,913,4,CONDITIONAL,4381.2
38,35960,5787,6,2023-01-26,991,2,PASS,2018.2
39,23420,8257,155,2024-08-31,537,4,CONDITIONAL,7448.8
40,20035,15601,55,2026-09-02,426,3,PASS,7042.3
41,48506,25124,75,2026-09-01,540,0,PASS,0.0
42,58217,17465,434,2025-11-26,101,0,PASS,0.0
43,2827,29461,331,2024-12-24,321,0,PASS,0.0
44,40178,19984,457,2023-07-16,128,0,PASS,0.0
45,34297,9556,416,2026-06-20,138,1,PASS,7246.4
46,77971,6970,319,2024-09-09,886,3,PASS,3386.0
47,46618,21332,56,2024-12-08,886,1,PASS,1128.7
48,2335,13951,218,2023-09-26,937,2,PASS,2134.5
49,41845,13710,303,2024-09-30,840,4,CONDITIONAL,4761.9
50,54558,14912,46,2024-10-15,900,2,PASS,2222.2
51,9427,956,355,2023-05-26,418,3,PASS,7177.0
52,9710,18719,79,2025-07-07,173,1,PASS,5780.3
53,32401,13134,33,2025-06-18,877,4,CONDITIONAL,4561.0
54,44519,14930,10,2024-07-06,705,3,PASS,4255.3
55,74207,20271,425,2025-07-14,586,3,PASS,5119.5
56,36807,29032,348,2024-08-25,139,0,PASS,0.0
57,64481,6597,55,2026-08-19,659,4,CONDITIONAL,6069.8
58,65608,7713,149,2025-09-07,821,2,PASS,2436.1
59,79540,21006,376,2024-03-20,829,0,PASS,0.0
60,17290,22320,267,2024-11-30,574,0,PASS,0.0
61,1137,21994,82,2025-04-29,198,2,PASS,10101.0
62,65275,16338,147,2023-11-10,274,0,PASS,0.0
63,3631,17942,151,2026-05-09,242,0,PASS,0.0
64,57663,1958,472,2025-05-27,137,3,PASS,21897.8
65,15219,18490,219,2024-06-18,712,1,PASS,1404.5
66,65134,3828,265,2024-01-20,847,2,PASS,2361.3
67,45144,14192,40,2023-06-24,750,0,PASS,0.0
68,21321,21843,448,2023-06-05,795,3,PASS,3773.6
69,78583,5199,164,2026-06-23,885,2,PASS,2259.9
70,69349,17369,367,2026-03-14,411,0,PASS,0.0
71,49564,29942,326,2026-04-10,629,0,PASS,0.0
72,24251,7117,379,2026-09-11,191,3,PASS,15706.8
73,37140,26938,485,2026-02-02,926,0,PASS,0.0
74,77985,4153,359,2026-03-08,858,4,CONDITIONAL,4662.0
75,87567,14615,59,2023-04-02,184,0,PASS,0.0
76,11706,7386,135,2025-09-15,789,2,PASS,2534.9
77,5155,3875,439,2025-03-25,582,0,PASS,0.0
78,62617,23999,391,2023-07-09,722,2,PASS,2770.1
79,6884,7458,196,2023-03-06,141,2,PASS,14184.4
80,25724,10482,130,2025-09-03,937,0,PASS,0.0
81,20617,9099,345,2023-08-16,272,0,PASS,0.0
82,22817,26937,201,2023-12-19,916,4,CONDITIONAL,4366.8
83,83823,2416,196,2026-01-14,573,0,PASS,0.0
84,12849,22257,101,2024-05-13,780,3,PASS,3846.2
85,59111,1379,251,2024-10-30,961,0,PASS,0.0
86,52233,26436,270,2025-03-28,894,3,PASS,3355.7
87,38115,16154,493,2026-09-26,656,0,PASS,0.0
88,66470,22619,285,2023-10-13,537,0,PASS,0.0
89,10588,22044,114,2026-03-07,553,4,CONDITIONAL,7233.3
90,56917,3102,57,2023-05-18,392,3,PASS,7653.1
91,58463,25779,422,2026-06-16,700,3,PASS,4285.7
92,88498,4236,465,2025-03-25,536,2,PASS,3731.3
93,72986,2784,121,2024-09-07,620,1,PASS,1612.9
94,63317,22342,381,2025-09-10,688,0,PASS,0.0
