ORDER_ID,ORDER_NUMBER,CUSTOMER_ID,ORDER_DATE,PLANT_ID,STATUS
1,SO-0000001,35,2023-04-24,8,SHIPPED
2,SO-0000002,23,2026-01-22,5,PARTIAL
3,SO-0000003,25,2024-05-03,5,SHIPPED
4,SO-0000004,59,2024-03-25,7,SHIPPED
5,SO-0000005,80,2026-06-10,4,OPEN
6,SO-0000006,75,2024-04-09,7,SHIPPED
7,SO-0000007,68,2024-02-01,11,PARTIAL
8,SO-0000008,30,2023-01-17,5,SHIPPED
9,SO-0000009,75,2023-11-07,2,SHIPPED
10,SO-0000010,33,2024-12-27,2,SHIPPED
11,SO-0000011,54,2024-09-11,6,PARTIAL
12,SO-0000012,19,2025-09-19,12,SHIPPED
13,SO-0000013,64,2023-03-13,1,SHIPPED
14,SO-0000014,21,2024-03-13,8,PARTIAL
15,SO-0000015,61,2023-07-16,10,SHIPPED
16,SO-0000016,21,2023-10-28,11,PARTIAL
17,SO-0000017,26,2023-05-29,5,SHIPPED
18,SO-0000018,74,2026-03-20,4,OPEN
19,SO-0000019,71,2023-10-21,5,SHIPPED
20,SO-0000020,11,2023-10-22,3,SHIPPED
21,SO-0000021,14,2023-08-14,7,SHIPPED
22,SO-0000022,68,2026-09-02,3,OPEN
23,SO-0000023,46,2023-04-28,12,SHIPPED
24,SO-0000024,44,2025-02-16,4,PARTIAL
25,SO-0000025,3,2024-01-04,3,OPEN
26,SO-0000026,72,2025-04-11,9,SHIPPED
27,SO-0000027,40,2024-02-21,1,OPEN
28,SO-0000028,64,2026-03-30,5,SHIPPED
29,SO-0000029,10,2024-04-25,3,SHIPPED
30,SO-0000030,43,2023-08-29,12,SHIPPED
31,SO-0000031,17,2024-03-05,12,SHIPPED
32,SO-0000032,40,2024-08-20,10,SHIPPED
33,SO-0000033,16,2025-01-16,11,SHIPPED
34,SO-0000034,38,2025-10-20,8,SHIPPED
35,SO-0000035,3,2024-03-14,6,SHIPPED
36,SO-0000036,72,2025-05-20,3,SHIPPED
37,SO-0000037,65,2024-06-04,8,SHIPPED
38,SO-0000038,40,2024-03-02,6,OPEN
39,SO-0000039,60,2024-07-10,7,SHIPPED
40,SO-0000040,35,2024-12-11,11,OPEN
41,SO-0000041,26,2025-01-23,11,SHIPPED
42,SO-0000042,57,2024-03-30,10,OPEN
43,SO-0000043,27,2024-11-11,7,SHIPPED
