ORDER_LINE_ID,ORDER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE,REQUESTED_DATE
1,1,495,153.00,1253.19,2025-12-23
2,2,443,132.00,306.28,2026-04-27
3,3,485,158.00,1098.64,2026-02-12
4,4,59,54.00,1400.54,2024-01-29
5,5,140,246.00,1870.59,2026-06-14
6,6,15,334.00,735.14,2024-03-02
7,7,108,116.00,76.22,2024-01-12
8,8,390,246.00,738.88,2024-04-29
9,9,235,325.00,921.81,2026-02-21
10,10,353,201.00,1113.29,2023-11-26
11,11,394,84.00,1933.69,2025-07-24
12,12,199,57.00,923.03,2025-01-27
13,13,24,16.00,1042.96,2023-09-02
14,14,61,402.00,1520.03,2024-01-23
15,15,161,66.00,858.17,2026-01-28
16,16,441,425.00,1130.98,2024-05-10
17,17,146,298.00,1857.32,2024-12-07
18,18,454,184.00,1919.27,2024-03-21
19,19,271,408.00,447.28,2026-07-26
20,20,471,464.00,1425.78,2025-03-17
21,21,414,95.00,1352.66,2023-09-02
22,22,228,185.00,1519.90,2025-01-08
23,23,366,232.00,1873.59,2024-08-10
24,24,484,307.00,654.95,2026-04-16
25,25,363,8.00,1350.82,2026-07-02
26,26,392,476.00,1134.00,2026-07-26
27,27,440,486.00,763.68,2026-01-27
28,28,344,254.00,358.60,2024-03-29
29,29,10,100.00,194.98,2025-09-22
30,30,403,425.00,396.23,2026-06-12
31,31,17,399.00,82.91,2025-05-07
32,32,260,412.00,2025.33,2026-05-26
33,33,16,121.00,495.78,2025-11-30
34,34,258,363.00,417.43,2023-06-30
35,35,103,148.00,550.85,2023-07-01
36,36,472,145.00,416.06,2023-05-09
37,37,265,465.00,645.51,2025-09-16
38,38,460,316.00,1575.05,2023-02-23
39,39,420,416.00,1681.54,2024-09-24
40,40,35,290.00,770.54,2026-10-05
41,41,6,243.00,825.74,2026-09-28
42,42,217,9.00,204.33,2025-12-04
43,43,327,200.00,88.30,2025-01-11
44,44,178,248.00,1904.56,2023-08-20
45,45,297,155.00,1249.15,2026-07-05
46,46,471,44.00,733.18,2024-09-22
47,47,118,261.00,1985.55,2024-12-21
48,48,335,185.00,1602.17,2023-10-30
49,49,345,124.00,1818.02,2024-10-27
50,50,58,216.00,1885.45,2024-11-11
51,51,427,390.00,363.54,2023-06-20
52,52,210,123.00,1925.78,2025-07-27
53,53,401,103.00,305.32,2025-07-22
54,54,19,444.00,75.09,2024-07-18
55,55,207,400.00,1139.24,2025-07-27
56,56,307,206.00,1198.47,2024-09-10
57,57,481,421.00,295.54,2026-09-14
58,58,108,397.00,1876.48,2025-09-15
