SHIPMENT_ID,CARRIER_ID,LANE_ID,SHIP_DATE,DELIVERY_DATE,STATUS
1,15,314,2025-01-19,2025-02-15,DELIVERED
2,3,478,2023-05-19,2023-06-24,DELIVERED
3,5,189,2024-06-28,2024-07-25,DELIVERED
4,19,80,2025-06-13,2025-06-22,DELIVERED
5,20,417,2026-08-22,2026-09-26,DELIVERED
6,15,105,2023-06-04,2023-06-11,DELIVERED
7,8,147,2024-06-26,2024-07-27,DELIVERED
8,10,147,2024-03-14,2024-04-02,DELIVERED
9,15,81,2025-04-01,2025-05-10,DELIVERED
10,13,77,2025-07-18,2025-08-14,DELIVERED
11,14,160,2024-04-04,2024-04-10,DELIVERED
12,19,303,2026-02-07,2026-03-13,DELIVERED
13,4,132,2024-05-11,2024-05-24,DELIVERED
14,1,188,2023-04-14,2023-05-10,DELIVERED
15,1,397,2023-07-17,2023-07-24,DELIVERED
16,1,171,2024-11-29,2024-12-30,DELIVERED
17,6,379,2024-02-07,2024-02-24,DELIVERED
18,14,65,2024-05-02,2024-06-01,DELIVERED
19,11,74,2025-08-26,2025-09-23,DELIVERED
20,11,325,2026-01-03,2026-01-15,DELIVERED
21,14,206,2025-11-12,2025-12-06,DELIVERED
22,8,91,2024-02-25,2024-03-06,DELIVERED
23,6,468,2025-09-16,2025-10-09,DELIVERED
24,4,158,2026-07-09,2026-08-09,DELIVERED
25,3,389,2023-10-10,2023-11-04,DELAYED
26,12,292,2025-12-16,2026-01-22,DELIVERED
27,20,347,2025-08-26,2025-09-05,DELIVERED
28,4,285,2023-12-17,2024-01-05,DELIVERED
29,10,471,2025-11-24,2025-12-18,DELIVERED
30,3,241,2024-12-24,2025-01-30,DELIVERED
31,17,200,2023-07-21,2023-08-23,DELIVERED
32,20,258,2025-01-03,2025-02-09,DELIVERED
33,16,497,2024-09-30,2024-11-02,DELIVERED
34,18,414,2023-08-12,2023-08-21,DELIVERED
35,3,489,2024-03-21,2024-04-19,DELIVERED
36,12,241,2024-03-22,2024-03-31,DELIVERED
37,5,141,2023-01-02,2023-01-31,DELIVERED
38,20,287,2026-04-20,2026-05-25,DELAYED
39,20,257,2026-08-17,2026-09-19,DELIVERED
40,15,101,2023-12-31,2024-01-15,DELIVERED
41,6,124,2026-04-09,2026-04-23,IN_TRANSIT
42,17,465,2025-10-30,2025-11-14,DELAYED
43,7,461,2023-09-08,2023-09-16,DELAYED
44,18,484,2026-06-10,2026-06-26,DELIVERED
45,17,56,2023-03-17,2023-04-22,DELIVERED
46,11,470,2024-02-13,2024-03-06,DELIVERED
47,18,332,2023-06-05,2023-07-07,DELIVERED
48,15,451,2026-04-02,2026-05-05,DELIVERED
49,5,210,2025-04-02,2025-04-25,IN_TRANSIT
50,18,412,2024-12-06,2025-01-08,IN_TRANSIT
51,7,456,2025-05-14,2025-05-29,DELIVERED
52,10,219,2024-10-20,2024-11-07,DELIVERED
53,1,134,2023-08-21,2023-09-29,DELIVERED
54,19,430,2024-12-20,2025-01-16,DELIVERED
55,7,271,2024-06-18,2024-07-08,DELIVERED
56,7,32,2023-02-07,2023-02-14,DELIVERED
57,1,97,2025-10-11,2025-11-01,DELIVERED
58,8,213,2024-10-30,2024-11-24,DELAYED
59,20,6,2026-04-10,2026-05-14,DELIVERED
60,10,320,2026-09-28,2026-10-12,DELIVERED
61,17,494,2024-08-14,2024-09-17,DELIVERED
62,15,338,2023-09-14,2023-10-12,DELIVERED
63,11,442,2024-05-05,2024-06-08,DELIVERED
64,3,458,2024-01-27,2024-02-18,DELIVERED
65,19,490,2025-11-14,2025-11-23,DELIVERED
66,14,328,2024-10-26,2024-11-04,DELIVERED
67,4,192,2024-09-11,2024-09-30,IN_TRANSIT
68,1,343,2024-04-22,2024-05-02,DELIVERED
69,3,199,2025-04-23,2025-05-27,DELIVERED
70,9,369,2024-07-30,2024-09-06,DELAYED
71,4,442,2023-03-17,2023-04-11,DELIVERED
72,11,117,2023-04-19,2023-05-28,DELAYED
73,20,438,2025-07-03,2025-08-05,DELIVERED
74,5,153,2025-08-26,2025-09-22,DELIVERED
75,7,115,2023-10-16,2023-11-01,DELIVERED
76,6,386,2026-01-19,2026-02-26,DELIVERED
77,15,375,2026-03-24,2026-05-02,DELIVERED
78,17,499,2023-07-30,2023-08-28,DELIVERED
79,4,458,2026-07-09,2026-08-17,DELAYED
80,4,482,2023-04-20,2023-05-16,DELIVERED
81,17,99,2023-07-24,2023-08-30,DELIVERED
82,17,437,2023-11-27,2023-12-19,DELIVERED
83,3,416,2025-02-04,2025-02-23,DELIVERED
84,9,257,2024-12-01,2024-12-19,IN_TRANSIT
85,11,379,2026-04-25,2026-05-13,DELAYED
86,13,436,2023-03-01,2023-03-23,DELIVERED
87,15,154,2023-09-10,2023-10-19,DELIVERED
88,10,119,2023-07-24,2023-08-08,DELIVERED
89,8,44,2026-03-19,2026-03-25,DELIVERED
90,17,102,2024-05-21,2024-06-27,DELIVERED
91,3,279,2025-04-11,2025-04-23,IN_TRANSIT
92,18,236,2025-10-21,2025-11-14,DELIVERED
93,6,284,2023-09-28,2023-10-23,IN_TRANSIT
94,17,342,2025-06-09,2025-07-17,DELIVERED
95,11,121,2025-01-06,2025-01-28,IN_TRANSIT
96,16,7,2024-08-17,2024-08-28,DELIVERED
97,4,80,2026-07-21,2026-08-03,DELIVERED
98,3,24,2023-12-05,2023-12-20,DELIVERED
99,19,251,2023-04-19,2023-05-21,DELIVERED
100,10,45,2025-11-29,2026-01-07,DELIVERED
101,5,228,2025-09-07,2025-09-25,DELIVERED
102,3,329,2023-02-17,2023-03-27,DELIVERED
103,7,465,2023-02-04,2023-02-22,IN_TRANSIT
104,7,274,2025-07-09,2025-07-29,DELIVERED
105,2,254,2025-04-08,2025-04-23,DELIVERED
106,7,140,2023-08-17,2023-08-27,DELIVERED
107,8,231,2023-03-02,2023-03-20,DELIVERED
108,1,284,2023-09-08,2023-09-22,DELIVERED
109,10,297,2023-10-11,2023-11-01,DELIVERED
110,3,232,2025-02-27,2025-03-10,IN_TRANSIT
111,17,406,2023-11-23,2023-12-27,DELIVERED
112,12,297,2026-07-28,2026-08-18,DELIVERED
113,1,265,2026-01-20,2026-02-22,DELIVERED
114,6,49,2024-04-03,2024-04-08,DELIVERED
115,20,315,2026-05-25,2026-06-27,DELAYED
116,20,98,2024-09-26,2024-10-20,DELIVERED
117,9,10,2025-03-14,2025-04-01,DELIVERED
118,14,4,2025-02-05,2025-02-18,DELIVERED
119,2,79,2024-11-19,2024-11-24,DELIVERED
120,19,182,2024-09-07,2024-10-12,DELIVERED
121,16,129,2024-12-15,2025-01-23,DELIVERED
122,16,5,2025-03-30,2025-04-11,DELAYED
123,14,269,2025-12-22,2026-01-08,DELAYED
124,19,52,2023-07-31,2023-08-27,DELIVERED
125,8,500,2025-11-29,2026-01-03,DELAYED
126,3,38,2025-06-04,2025-06-21,DELIVERED
127,14,239,2024-12-25,2025-01-05,DELAYED
128,14,204,2024-04-06,2024-04-24,DELIVERED
129,11,338,2023-06-11,2023-07-20,DELIVERED
130,20,152,2026-08-23,2026-09-06,DELIVERED
131,20,371,2024-03-02,2024-03-07,DELIVERED
132,13,222,2024-12-21,2024-12-29,DELIVERED
133,18,481,2023-10-16,2023-11-24,DELIVERED
134,16,331,2024-07-23,2024-08-22,DELAYED
135,16,430,2024-03-28,2024-04-11,DELIVERED
136,5,2,2024-02-02,2024-03-08,DELIVERED
137,7,400,2026-02-24,2026-03-06,DELIVERED
138,13,428,2023-11-16,2023-12-06,DELIVERED
139,12,161,2023-05-24,2023-06-09,DELIVERED
140,19,22,2025-06-18,2025-07-04,DELIVERED
141,6,41,2024-09-14,2024-10-21,DELIVERED
142,2,263,2024-10-18,2024-10-23,DELIVERED
143,16,190,2026-01-20,2026-02-10,DELIVERED
144,18,373,2025-04-22,2025-05-09,DELIVERED
145,18,10,2023-12-11,2024-01-16,DELIVERED
146,3,205,2025-07-06,2025-07-14,DELIVERED
147,7,48,2023-01-19,2023-02-03,DELIVERED
148,7,159,2024-07-24,2024-07-29,DELIVERED
149,7,101,2024-04-19,2024-05-13,DELIVERED
150,3,145,2026-08-01,2026-08-24,DELIVERED
151,14,166,2024-03-06,2024-04-09,DELIVERED
152,5,314,2025-06-19,2025-07-17,DELIVERED
153,8,73,2024-07-07,2024-07-15,DELIVERED
154,3,327,2023-07-25,2023-08-30,DELIVERED
155,16,266,2024-01-29,2024-02-16,IN_TRANSIT
156,15,225,2025-01-07,2025-02-01,DELIVERED
157,16,392,2023-10-06,2023-11-13,DELIVERED
158,11,326,2024-01-25,2024-02-07,IN_TRANSIT
159,19,401,2023-08-31,2023-10-06,IN_TRANSIT
160,13,41,2024-12-27,2025-01-08,DELIVERED
161,5,130,2025-11-12,2025-11-17,DELIVERED
162,1,54,2024-02-12,2024-03-08,IN_TRANSIT
163,10,328,2023-01-04,2023-02-03,DELIVERED
164,3,185,2023-11-05,2023-11-23,DELIVERED
165,2,243,2023-03-30,2023-05-05,DELIVERED
166,5,429,2024-05-15,2024-05-21,IN_TRANSIT
167,1,331,2025-03-05,2025-03-14,DELIVERED
168,20,286,2024-08-12,2024-09-19,DELIVERED
169,18,332,2026-06-18,2026-07-12,DELIVERED
170,12,358,2023-03-08,2023-04-08,DELIVERED
171,3,468,2023-07-26,2023-08-14,DELIVERED
172,19,299,2025-10-16,2025-10-26,DELIVERED
173,5,187,2025-04-09,2025-05-18,DELAYED
174,14,43,2026-09-26,2026-10-02,DELIVERED
175,6,101,2025-04-28,2025-06-03,DELIVERED
176,5,14,2023-04-16,2023-05-10,DELIVERED
177,12,233,2025-07-31,2025-08-13,DELIVERED
178,5,185,2025-11-05,2025-11-14,DELIVERED
179,20,304,2024-07-22,2024-08-09,DELIVERED
180,12,232,2024-11-17,2024-12-17,DELIVERED
181,6,326,2026-08-02,2026-08-20,DELIVERED
182,15,298,2025-12-16,2026-01-12,IN_TRANSIT
183,20,353,2026-04-24,2026-04-29,IN_TRANSIT
184,12,312,2024-04-29,2024-05-27,IN_TRANSIT
185,10,61,2025-06-18,2025-06-28,DELIVERED
186,10,442,2023-01-21,2023-03-01,DELIVERED
187,6,59,2024-06-04,2024-06-15,DELIVERED
188,12,465,2026-07-06,2026-08-08,DELIVERED
189,4,116,2026-07-25,2026-08-25,DELIVERED
190,5,80,2023-01-14,2023-02-17,IN_TRANSIT
191,19,177,2025-01-02,2025-01-28,DELAYED
192,19,324,2024-10-16,2024-11-20,DELIVERED
193,11,260,2025-07-22,2025-08-06,IN_TRANSIT
194,1,324,2026-02-16,2026-03-11,DELIVERED
195,13,117,2023-08-07,2023-09-07,DELIVERED
196,19,262,2026-03-18,2026-03-28,DELIVERED
197,19,175,2023-10-03,2023-11-11,DELIVERED
198,18,241,2026-09-03,2026-09-26,DELAYED
199,10,338,2023-08-26,2023-09-12,DELIVERED
200,2,66,2025-09-30,2025-10-29,DELIVERED
201,10,73,2023-05-17,2023-06-06,DELIVERED
202,2,373,2024-09-21,2024-09-26,DELIVERED
203,1,281,2023-06-11,2023-07-15,DELIVERED
204,17,421,2025-07-27,2025-08-19,DELIVERED
205,20,475,2024-02-09,2024-03-11,DELIVERED
206,12,202,2023-05-16,2023-05-26,DELIVERED
207,18,316,2023-08-19,2023-08-24,DELIVERED
208,19,146,2026-03-02,2026-03-19,DELIVERED
209,19,367,2025-07-09,2025-08-04,DELIVERED
210,16,32,2024-03-17,2024-04-14,DELIVERED
211,11,111,2025-02-19,2025-03-11,DELIVERED
212,18,228,2024-08-18,2024-09-20,DELIVERED
213,8,325,2023-09-07,2023-10-10,DELIVERED
214,7,179,2024-03-29,2024-05-07,DELIVERED
215,14,347,2023-07-23,2023-08-21,DELIVERED
216,13,89,2026-07-23,2026-08-01,DELIVERED
217,19,364,2025-04-27,2025-05-03,DELIVERED
218,15,417,2024-11-11,2024-11-24,DELIVERED
219,19,446,2025-02-07,2025-03-18,DELIVERED
220,8,198,2023-05-12,2023-05-31,DELIVERED
221,16,431,2024-03-04,2024-03-12,DELIVERED
222,1,450,2024-06-01,2024-07-06,DELIVERED
223,16,306,2026-04-07,2026-05-11,IN_TRANSIT
224,12,221,2025-09-24,2025-10-22,DELIVERED
225,14,187,2023-12-02,2024-01-04,DELIVERED
226,17,328,2024-10-14,2024-11-08,DELIVERED
227,20,73,2026-08-06,2026-08-23,DELIVERED
228,9,145,2025-12-27,2026-01-01,IN_TRANSIT
229,12,465,2023-06-24,2023-07-04,DELIVERED
230,18,390,2025-08-18,2025-09-24,DELIVERED
231,9,110,2023-10-11,2023-10-23,DELAYED
232,20,33,2026-03-20,2026-03-30,IN_TRANSIT
233,8,490,2026-07-21,2026-08-24,DELIVERED
234,10,436,2025-05-05,2025-05-14,DELIVERED
235,7,385,2025-05-24,2025-06-24,DELIVERED
236,10,236,2025-02-26,2025-04-06,DELAYED
237,7,195,2024-11-08,2024-11-15,DELIVERED
238,6,3,2025-08-01,2025-09-03,DELIVERED
239,18,356,2025-08-19,2025-08-29,IN_TRANSIT
240,9,230,2023-05-01,2023-05-11,IN_TRANSIT
241,16,60,2025-01-31,2025-02-06,DELIVERED
242,1,472,2025-09-30,2025-10-07,DELAYED
243,5,63,2023-06-25,2023-08-01,IN_TRANSIT
244,6,178,2025-11-17,2025-12-23,DELIVERED
245,19,118,2024-09-01,2024-10-08,DELIVERED
246,16,130,2023-08-07,2023-09-05,DELIVERED
247,10,197,2025-10-10,2025-11-14,DELIVERED
248,14,459,2026-05-27,2026-07-01,IN_TRANSIT
249,19,65,2023-09-03,2023-09-25,DELIVERED
250,20,42,2025-04-09,2025-05-17,DELIVERED
251,8,249,2024-09-17,2024-10-19,DELIVERED
252,20,80,2023-10-13,2023-11-13,DELIVERED
253,7,353,2024-09-07,2024-09-21,DELIVERED
254,15,123,2024-01-04,2024-01-28,IN_TRANSIT
255,1,171,2025-09-27,2025-11-05,DELIVERED
256,7,170,2026-03-08,2026-04-07,DELAYED
257,4,168,2023-05-13,2023-06-03,DELIVERED
258,7,86,2024-10-09,2024-10-24,IN_TRANSIT
259,16,252,2024-12-15,2024-12-26,DELIVERED
260,15,321,2026-03-30,2026-05-08,DELIVERED
261,12,275,2026-07-14,2026-08-17,DELIVERED
262,11,168,2023-01-28,2023-02-28,DELIVERED
263,6,382,2026-01-02,2026-01-11,DELIVERED
264,14,89,2023-03-08,2023-04-05,DELIVERED
265,14,71,2024-10-29,2024-11-17,DELIVERED
266,14,184,2023-04-22,2023-05-22,DELIVERED
267,19,68,2023-10-07,2023-10-22,DELIVERED
268,7,132,2025-02-05,2025-03-05,DELIVERED
269,8,357,2024-01-30,2024-02-27,DELIVERED
270,3,192,2023-11-10,2023-12-02,DELIVERED
271,19,105,2026-06-02,2026-07-04,DELIVERED
272,13,23,2025-04-22,2025-05-21,DELIVERED
273,9,279,2025-09-18,2025-09-24,DELAYED
274,16,196,2024-07-31,2024-08-25,IN_TRANSIT
275,1,334,2023-04-13,2023-05-10,DELIVERED
276,11,141,2025-09-24,2025-10-22,IN_TRANSIT
277,19,205,2025-01-29,2025-03-05,DELIVERED
278,20,80,2023-08-14,2023-09-04,DELAYED
279,16,484,2024-03-27,2024-04-09,DELIVERED
280,20,301,2025-02-13,2025-03-02,DELIVERED
281,18,491,2025-10-04,2025-10-18,DELIVERED
282,16,375,2023-04-24,2023-05-07,DELIVERED
283,19,311,2023-02-06,2023-03-01,DELIVERED
284,16,330,2023-02-13,2023-02-24,DELIVERED
285,6,413,2023-07-09,2023-07-22,DELIVERED
286,2,244,2025-06-23,2025-07-14,DELIVERED
287,15,47,2026-09-07,2026-10-13,DELIVERED
288,20,251,2025-04-10,2025-05-01,DELAYED
289,7,157,2026-09-25,2026-10-11,DELIVERED
290,12,467,2025-06-19,2025-07-05,DELIVERED
291,2,352,2025-11-09,2025-12-13,DELAYED
292,1,54,2023-09-04,2023-10-13,DELIVERED
293,12,273,2026-09-04,2026-09-12,DELIVERED
294,6,363,2023-12-29,2024-01-30,DELAYED
295,20,418,2023-01-06,2023-02-09,DELIVERED
296,6,60,2026-09-16,2026-09-30,DELIVERED
297,13,84,2023-06-05,2023-06-19,IN_TRANSIT
298,3,332,2023-07-16,2023-07-25,IN_TRANSIT
299,15,131,2024-04-01,2024-04-13,DELIVERED
300,18,385,2023-11-12,2023-12-11,IN_TRANSIT
301,3,209,2023-05-07,2023-05-27,DELIVERED
302,7,138,2026-03-20,2026-03-27,DELIVERED
