SHIPMENT_LINE_ID,SHIPMENT_ID,ORDER_LINE_ID,PO_LINE_ID,QUANTITY
1,1,34995,,54.00
2,2,,10478,303.00
3,3,985,,264.00
4,4,,49580,89.00
5,5,16640,,194.00
6,6,,1605,434.00
7,7,7108,,282.00
8,8,,56147,138.00
9,9,12235,,486.00
10,10,,40577,174.00
11,11,9894,,214.00
12,12,,38303,193.00
13,13,15024,,221.00
14,14,,25688,183.00
15,15,19661,,242.00
16,16,,14671,33.00
17,17,29146,,87.00
18,18,,35565,452.00
19,19,31271,,468.00
20,20,,13825,103.00
21,21,14414,,281.00
22,22,,18091,250.00
23,23,14366,,394.00
24,24,,59658,275.00
25,25,1363,,397.00
26,26,,27292,40.00
27,27,2440,,188.00
28,28,,35785,15.00
29,29,22010,,343.00
30,30,,241,223.00
31,31,8017,,61.00
32,32,,37758,143.00
33,33,10016,,363.00
34,34,,12914,123.00
35,35,13603,,25.00
36,36,,12741,481.00
37,37,11265,,276.00
38,38,,35787,40.00
39,39,3420,,434.00
40,40,,45601,69.00
41,41,8506,,174.00
42,42,,47465,248.00
43,43,32827,,155.00
44,44,,49984,476.00
45,45,34297,,440.00
46,46,,36970,378.00
47,47,16618,,445.00
48,48,,13951,12.00
49,49,1845,,362.00
50,50,,14912,425.00
51,51,19427,,219.00
52,52,,48719,28.00
53,53,2401,,477.00
54,54,,14930,309.00
55,55,34207,,329.00
56,56,,59032,32.00
57,57,14481,,84.00
58,58,,37713,203.00
59,59,19540,,395.00
60,60,,52320,366.00
61,61,11137,,436.00
62,62,,46338,326.00
63,63,33631,,490.00
64,64,,31958,76.00
65,65,5219,,178.00
66,66,,33828,39.00
67,67,15144,,139.00
68,68,,51843,192.00
69,69,38583,,398.00
70,70,,47369,91.00
71,71,9564,,130.00
72,72,,7117,403.00
73,73,7140,,269.00
74,74,,4153,468.00
75,75,7567,,448.00
76,76,,37386,304.00
77,77,35155,,433.00
78,78,,23999,430.00
79,79,16884,,420.00
80,80,,10482,84.00
81,81,617,,429.00
82,82,,26937,375.00
83,83,23823,,200.00
84,84,,52257,260.00
85,85,19111,,95.00
86,86,,56436,84.00
87,87,38115,,17.00
88,88,,22619,229.00
89,89,10588,,388.00
90,90,,33102,391.00
91,91,28463,,61.00
92,92,,34236,439.00
93,93,12986,,130.00
94,94,,52342,235.00
95,95,25431,,211.00
96,96,,37007,434.00
97,97,27024,,32.00
98,98,,42524,233.00
99,99,26959,,13.00
100,100,,34545,143.00
101,101,29985,,55.00
102,102,,17329,117.00
103,103,7627,,209.00
104,104,,40774,125.00
105,105,32302,,228.00
106,106,,45640,388.00
107,107,148,,50.00
108,108,,50784,345.00
109,109,10490,,453.00
110,110,,44232,128.00
111,111,11197,,296.00
112,112,,45797,184.00
113,113,25881,,230.00
114,114,,1549,213.00
115,115,15240,,380.00
116,116,,30598,99.00
117,117,28169,,298.00
118,118,,3004,171.00
119,119,18822,,143.00
120,120,,28682,255.00
121,121,20116,,329.00
122,122,,38005,444.00
123,123,11774,,186.00
124,124,,36052,336.00
125,125,31048,,453.00
126,126,,50038,380.00
127,127,31774,,359.00
128,128,,13704,11.00
129,129,18151,,276.00
130,130,,12652,150.00
131,131,30480,,461.00
132,132,,59722,15.00
133,133,2238,,393.00
134,134,,37331,19.00
135,135,37076,,142.00
136,136,,41002,412.00
137,137,11027,,105.00
138,138,,33428,359.00
139,139,17612,,28.00
140,140,,8022,9.00
141,141,32526,,57.00
142,142,,46763,196.00
143,143,3096,,35.00
144,144,,18873,297.00
145,145,4238,,74.00
146,146,,53205,482.00
147,147,10707,,453.00
148,148,,16159,5.00
149,149,29167,,19.00
150,150,,58145,28.00
151,151,12554,,390.00
152,152,,53314,40.00
153,153,1268,,328.00
154,154,,40827,405.00
155,155,36496,,198.00
156,156,,37725,297.00
157,157,24636,,178.00
158,158,,42326,179.00
159,159,8939,,207.00
160,160,,36541,186.00
161,161,3325,,456.00
162,162,,22554,172.00
163,163,6990,,23.00
164,164,,27185,223.00
165,165,10662,,188.00
166,166,,16429,380.00
167,167,1201,,234.00
168,168,,10286,229.00
169,169,5458,,244.00
