EVENT_ID,SHIPMENT_ID,MILESTONE,EVENT_TS,LOCATION
1,1,BOOKING_CONFIRMED,2025-01-19 04:00:00,Mumbai
2,1,PICKED_UP,2023-05-20 02:00:00,Savannah
3,1,GATE_IN,2024-06-30 03:00:00,Shanghai
4,1,LOADED,2025-06-16 10:00:00,Tokyo
5,1,DEPARTED,2026-08-26 06:00:00,Houston
6,1,IN_TRANSIT,2023-06-09 23:00:00,Guadalajara
7,1,TRANSSHIPMENT,2024-07-02 10:00:00,Rotterdam
8,1,ARRIVED_PORT,2024-03-21 12:00:00,Houston
9,1,CUSTOMS_CLEARANCE,2025-04-09 10:00:00,Los Angeles
10,1,GATE_OUT,2025-07-27 03:00:00,Rotterdam
11,1,OUT_FOR_DELIVERY,2024-04-14 22:00:00,Mumbai
12,1,DELIVERED,2026-02-18 10:00:00,Hamburg
13,1,POD_SIGNED,2024-05-23 11:00:00,Singapore
14,1,INVOICE_SENT,2023-04-27 13:00:00,Houston
15,2,BOOKING_CONFIRMED,2023-07-17 06:00:00,Tokyo
16,2,PICKED_UP,2024-11-30 15:00:00,Savannah
17,2,GATE_IN,2024-02-09 18:00:00,Savannah
18,2,LOADED,2024-05-05 15:00:00,Savannah
19,2,DEPARTED,2025-08-28 01:00:00,Guadalajara
20,2,IN_TRANSIT,2026-01-08 06:00:00,Savannah
21,2,TRANSSHIPMENT,2025-11-18 01:00:00,Guadalajara
22,2,ARRIVED_PORT,2024-03-03 09:00:00,Shanghai
23,2,CUSTOMS_CLEARANCE,2025-09-24 18:00:00,Singapore
24,2,GATE_OUT,2026-07-18 12:00:00,Singapore
25,2,OUT_FOR_DELIVERY,2023-10-20 10:00:00,Long Beach
26,2,DELIVERED,2025-12-27 02:00:00,Shenzhen
27,2,POD_SIGNED,2025-09-07 10:00:00,Penang
28,2,INVOICE_SENT,2023-12-30 17:00:00,Penang
29,3,BOOKING_CONFIRMED,2025-11-24 12:00:00,Mumbai
30,3,PICKED_UP,2024-12-25 06:00:00,Savannah
31,3,GATE_IN,2023-07-23 17:00:00,Long Beach
32,3,LOADED,2025-01-06 14:00:00,Hamburg
33,3,DEPARTED,2024-10-04 06:00:00,Savannah
34,3,IN_TRANSIT,2023-08-17 22:00:00,Penang
35,3,TRANSSHIPMENT,2024-03-27 11:00:00,Houston
36,3,ARRIVED_PORT,2024-03-29 13:00:00,Guadalajara
37,3,CUSTOMS_CLEARANCE,2023-01-10 15:00:00,Savannah
38,3,GATE_OUT,2026-04-29 11:00:00,Long Beach
39,3,OUT_FOR_DELIVERY,2026-08-27 20:00:00,Houston
40,3,DELIVERED,2024-01-11 08:00:00,Shanghai
41,3,POD_SIGNED,2026-04-21 05:00:00,Shanghai
42,3,INVOICE_SENT,2025-11-12 20:00:00,Penang
43,4,BOOKING_CONFIRMED,2023-09-08 23:00:00,Penang
