APPROVAL_ID,SUPPLIER_ID,SITE_ID,PART_ID,APPROVAL_DATE,STATUS
1,495,314,320,2025-01-02,APPROVED
2,443,878,15629,2024-05-21,APPROVED
3,485,289,4865,2023-12-14,APPROVED
4,59,380,15055,2025-09-21,APPROVED
5,140,917,22060,2024-08-13,APPROVED
6,15,405,8515,2023-09-05,APPROVED
7,108,847,12623,2024-08-09,APPROVED
8,390,947,28889,2024-04-29,APPROVED
9,235,381,27182,2025-05-24,APPROVED
10,353,977,26330,2024-09-19,APPROVED
11,394,560,8370,2023-07-26,APPROVED
12,199,1103,17304,2024-08-17,APPROVED
13,24,1032,19297,2025-02-02,APPROVED
14,61,488,7004,2025-07-30,APPROVED
15,161,197,20818,2024-06-26,APPROVED
16,441,271,8099,2024-07-05,APPROVED
17,146,1179,10733,2025-06-01,APPROVED
18,454,765,6928,2025-07-24,APPROVED
19,271,974,29729,2023-12-20,APPROVED
20,471,625,27579,2025-04-02,APPROVED
21,414,1006,10267,2025-06-08,APPROVED
22,228,91,26991,2024-01-21,APPROVED
23,366,768,12360,2025-02-17,APPROVED
24,484,858,496,2025-07-05,APPROVED
25,363,1189,10083,2024-07-24,APPROVED
26,392,892,28401,2023-02-12,APPROVED
27,440,647,1369,2024-09-02,APPROVED
28,344,985,20861,2024-11-20,APPROVED
29,10,1071,14499,2024-12-25,APPROVED
30,403,241,24624,2024-08-05,APPROVED
31,17,500,23292,2023-10-01,APPROVED
32,260,558,7534,2023-09-20,APPROVED
33,16,1197,14579,2025-07-07,APPROVED
34,258,914,26744,2024-03-30,APPROVED
35,103,189,10086,2025-07-28,APPROVED
36,472,741,26607,2025-04-09,APPROVED
37,265,41,29552,2023-10-07,APPROVED
38,460,987,22506,2025-04-15,APPROVED
39,420,1057,23155,2023-12-15,APPROVED
40,35,1,22055,2024-08-23,APPROVED
41,6,1124,27575,2025-09-16,APPROVED
42,217,665,5434,2023-09-18,APPROVED
43,327,661,13831,2025-02-22,APPROVED
44,178,784,15457,2025-09-13,APPROVED
45,297,1156,9916,2025-05-06,APPROVED
46,471,970,28319,2025-02-26,APPROVED
47,118,932,23556,2023-09-05,APPROVED
48,335,751,15218,2024-09-10,APPROVED
49,345,510,26803,2023-11-25,APPROVED
50,58,512,13546,2025-08-11,APPROVED
51,427,956,1355,2024-01-31,APPROVED
52,210,719,27579,2023-03-10,APPROVED
53,401,1134,15533,2024-11-30,APPROVED
54,19,530,2510,2023-12-09,APPROVED
55,207,1071,18925,2025-02-24,APPROVED
56,307,232,14848,2024-04-17,APPROVED
57,481,597,14555,2023-09-04,APPROVED
58,108,513,12649,2025-01-30,APPROVED
59,40,606,24376,2024-03-20,APPROVED
60,290,720,15767,2025-01-29,APPROVED
61,137,394,23082,2025-09-06,APPROVED
62,275,738,13147,2024-03-09,APPROVED
63,131,1142,8151,2023-12-31,APPROVED
64,163,758,26472,2023-04-18,APPROVED
65,219,490,10719,2023-07-04,APPROVED
66,134,228,11765,2023-02-04,APPROVED
67,144,992,5040,2024-12-25,APPROVED
68,321,243,10448,2024-05-10,APPROVED
69,83,399,15664,2025-06-28,APPROVED
70,349,569,27867,2023-02-08,APPROVED
71,64,1142,25326,2024-07-09,APPROVED
72,251,1117,2379,2023-08-18,APPROVED
73,140,538,26485,2025-06-27,APPROVED
74,485,553,15359,2024-02-07,APPROVED
75,67,215,16059,2023-09-09,APPROVED
76,206,186,24135,2023-04-29,APPROVED
77,155,275,939,2024-01-20,APPROVED
78,117,1199,12891,2023-01-10,APPROVED
79,384,258,28196,2023-04-15,APPROVED
80,224,882,16130,2023-09-14,APPROVED
81,117,699,24845,2023-04-08,APPROVED
82,317,537,8201,2024-06-26,APPROVED
83,323,16,1696,2024-09-11,APPROVED
84,349,657,29101,2023-06-28,APPROVED
85,111,179,17251,2025-03-29,APPROVED
86,233,36,23270,2023-05-08,APPROVED
87,115,554,4993,2023-02-04,APPROVED
88,470,1019,4785,2024-02-20,APPROVED
89,88,444,28614,2024-12-02,APPROVED
90,417,702,25557,2024-12-28,APPROVED
91,463,579,4422,2025-01-02,APPROVED
92,498,636,18465,2023-06-14,APPROVED
93,486,384,29121,2024-03-01,APPROVED
94,317,742,27381,2025-02-12,APPROVED
95,431,521,22437,2024-12-23,APPROVED
96,136,1007,15835,2025-01-26,APPROVED
97,24,1180,6568,2023-05-24,APPROVED
98,163,524,13429,2024-08-28,APPROVED
99,459,851,4989,2024-10-09,APPROVED
100,210,945,23284,2023-04-20,APPROVED
