WORK_ORDER_ID,PRODUCT_ID,PLANT_ID,START_DATE,END_DATE,QUANTITY,STATUS
1,495,2,2025-01-19,2025-01-30,218.00,IN_PROGRESS
2,443,2,2023-05-19,2023-06-01,499.00,IN_PROGRESS
3,485,1,2024-06-28,2024-07-02,464.00,COMPLETED
4,59,8,2025-06-13,2025-06-20,972.00,ON_HOLD
5,140,5,2026-08-22,2026-08-27,53.00,COMPLETED
6,15,9,2023-06-04,2023-06-16,202.00,COMPLETED
7,108,7,2024-06-26,2024-07-11,693.00,COMPLETED
8,390,11,2024-03-14,2024-03-17,423.00,COMPLETED
9,235,9,2025-04-01,2025-04-10,396.00,IN_PROGRESS
10,353,5,2025-07-18,2025-07-22,555.00,ON_HOLD
11,394,8,2024-04-04,2024-04-15,922.00,COMPLETED
12,199,11,2026-02-07,2026-02-18,436.00,COMPLETED
13,24,12,2024-05-11,2024-05-15,294.00,COMPLETED
14,61,8,2023-04-14,2023-04-24,909.00,COMPLETED
15,161,5,2023-07-17,2023-07-22,784.00,IN_PROGRESS
16,441,7,2024-11-29,2024-12-07,467.00,COMPLETED
17,146,3,2024-02-07,2024-02-22,227.00,COMPLETED
18,454,9,2024-05-02,2024-05-16,623.00,IN_PROGRESS
19,271,2,2025-08-26,2025-09-07,512.00,COMPLETED
20,471,1,2026-01-03,2026-01-06,327.00,ON_HOLD
21,414,10,2025-11-12,2025-11-20,858.00,COMPLETED
22,228,7,2024-02-25,2024-03-04,606.00,ON_HOLD
23,366,12,2025-09-16,2025-09-23,752.00,ON_HOLD
24,484,6,2026-07-09,2026-07-24,958.00,COMPLETED
25,363,1,2023-10-10,2023-10-19,861.00,ON_HOLD
26,392,4,2025-12-16,2025-12-23,93.00,IN_PROGRESS
27,440,11,2025-08-26,2025-09-10,745.00,ON_HOLD
28,344,1,2023-12-17,2023-12-27,527.00,COMPLETED
29,10,3,2025-11-24,2025-12-09,794.00,COMPLETED
30,403,1,2024-12-24,2024-12-31,489.00,ON_HOLD
31,17,8,2023-07-21,2023-07-31,587.00,IN_PROGRESS
32,260,6,2025-01-03,2025-01-10,952.00,IN_PROGRESS
33,16,9,2024-09-30,2024-10-03,329.00,IN_PROGRESS
34,258,2,2023-08-12,2023-08-19,69.00,IN_PROGRESS
35,103,9,2024-03-21,2024-03-27,125.00,COMPLETED
36,472,9,2024-03-22,2024-04-05,522.00,COMPLETED
37,265,5,2023-01-02,2023-01-08,663.00,COMPLETED
38,460,3,2026-04-20,2026-05-02,291.00,COMPLETED
39,420,1,2026-08-17,2026-08-20,187.00,COMPLETED
40,35,1,2023-12-31,2024-01-13,526.00,COMPLETED
41,6,8,2026-04-09,2026-04-21,640.00,IN_PROGRESS
42,217,5,2025-10-30,2025-11-12,551.00,IN_PROGRESS
43,327,1,2023-09-08,2023-09-14,721.00,IN_PROGRESS
44,178,4,2026-06-10,2026-06-17,628.00,IN_PROGRESS
45,297,4,2023-03-17,2023-03-30,388.00,ON_HOLD
46,471,10,2024-02-13,2024-02-19,686.00,COMPLETED
47,118,8,2023-06-05,2023-06-21,186.00,ON_HOLD
48,335,7,2026-04-02,2026-04-05,837.00,COMPLETED
49,345,6,2025-04-02,2025-04-09,390.00,COMPLETED
50,58,8,2024-12-06,2024-12-16,250.00,COMPLETED
51,427,8,2025-05-14,2025-05-20,568.00,COMPLETED
52,210,11,2024-10-20,2024-10-29,573.00,ON_HOLD
53,401,6,2023-08-21,2023-09-06,477.00,COMPLETED
54,19,2,2024-12-20,2024-12-31,855.00,COMPLETED
55,207,3,2024-06-18,2024-06-22,686.00,COMPLETED
56,307,4,2023-02-07,2023-02-12,489.00,IN_PROGRESS
57,481,9,2025-10-11,2025-10-16,809.00,COMPLETED
58,108,9,2024-10-30,2024-11-08,221.00,COMPLETED
59,40,6,2026-04-10,2026-04-21,929.00,IN_PROGRESS
60,290,12,2026-09-28,2026-10-10,374.00,IN_PROGRESS
61,137,10,2024-08-14,2024-08-18,248.00,COMPLETED
62,275,6,2023-09-14,2023-09-26,324.00,IN_PROGRESS
63,131,2,2024-05-05,2024-05-16,492.00,IN_PROGRESS
64,163,2,2024-01-27,2024-02-02,537.00,COMPLETED
65,219,10,2025-11-14,2025-11-21,262.00,ON_HOLD
66,134,12,2024-10-26,2024-11-02,247.00,COMPLETED
67,144,8,2024-09-11,2024-09-14,350.00,IN_PROGRESS
68,321,3,2024-04-22,2024-04-30,445.00,COMPLETED
69,83,3,2025-04-23,2025-04-27,485.00,COMPLETED
70,349,5,2024-07-30,2024-08-14,311.00,IN_PROGRESS
71,64,2,2023-03-17,2023-04-02,679.00,IN_PROGRESS
72,251,1,2023-04-19,2023-05-05,791.00,COMPLETED
73,140,10,2025-07-03,2025-07-06,726.00,IN_PROGRESS
74,485,1,2025-08-26,2025-09-06,358.00,COMPLETED
75,67,11,2023-10-16,2023-10-30,584.00,IN_PROGRESS
76,206,6,2026-01-19,2026-02-03,139.00,COMPLETED
77,155,11,2026-03-24,2026-04-02,932.00,IN_PROGRESS
78,117,11,2023-07-30,2023-08-05,72.00,COMPLETED
79,384,6,2026-07-09,2026-07-18,741.00,COMPLETED
80,224,6,2023-04-20,2023-04-23,487.00,IN_PROGRESS
81,117,3,2023-07-24,2023-08-07,72.00,IN_PROGRESS
82,317,9,2023-11-27,2023-12-10,666.00,COMPLETED
83,323,4,2025-02-04,2025-02-14,823.00,IN_PROGRESS
84,349,9,2024-12-01,2024-12-10,680.00,COMPLETED
85,111,11,2026-04-25,2026-05-04,911.00,IN_PROGRESS
86,233,12,2023-03-01,2023-03-07,944.00,COMPLETED
87,115,2,2023-09-10,2023-09-19,406.00,IN_PROGRESS
88,470,11,2023-07-24,2023-07-30,237.00,IN_PROGRESS
89,88,12,2026-03-19,2026-03-23,353.00,COMPLETED
90,417,6,2024-05-21,2024-06-04,892.00,COMPLETED
91,463,3,2025-04-11,2025-04-14,700.00,COMPLETED
92,498,12,2025-10-21,2025-11-05,636.00,COMPLETED
93,486,12,2023-09-28,2023-10-14,820.00,ON_HOLD
94,317,10,2025-06-09,2025-06-17,288.00,IN_PROGRESS
95,431,5,2025-01-06,2025-01-19,310.00,COMPLETED
96,136,11,2024-08-17,2024-08-26,614.00,COMPLETED
97,24,4,2026-07-21,2026-07-25,449.00,COMPLETED
98,163,8,2023-12-05,2023-12-11,149.00,COMPLETED
99,459,11,2023-04-19,2023-05-05,338.00,COMPLETED
100,210,9,2025-11-29,2025-12-15,907.00,IN_PROGRESS
101,485,4,2025-09-07,2025-09-16,187.00,COMPLETED
102,343,1,2023-02-17,2023-03-04,833.00,IN_PROGRESS
103,127,5,2023-02-04,2023-02-13,100.00,COMPLETED
104,307,10,2025-07-09,2025-07-20,209.00,COMPLETED
105,302,10,2025-04-08,2025-04-14,566.00,COMPLETED
106,207,4,2023-08-17,2023-08-25,576.00,COMPLETED
107,148,3,2023-03-02,2023-03-11,949.00,ON_HOLD
108,461,12,2023-09-08,2023-09-20,464.00,ON_HOLD
109,490,5,2023-10-11,2023-10-23,722.00,ON_HOLD
110,423,12,2025-02-27,2025-03-08,130.00,COMPLETED
111,197,2,2023-11-23,2023-12-04,176.00,COMPLETED
112,412,5,2026-07-28,2026-08-02,554.00,ON_HOLD
113,381,1,2026-01-20,2026-01-30,229.00,COMPLETED
114,26,1,2024-04-03,2024-04-06,159.00,COMPLETED
115,240,7,2026-05-25,2026-05-28,81.00,COMPLETED
116,400,10,2024-09-26,2024-10-11,383.00,IN_PROGRESS
117,169,2,2025-03-14,2025-03-30,72.00,ON_HOLD
118,14,4,2025-02-05,2025-02-16,904.00,ON_HOLD
119,322,11,2024-11-19,2024-11-22,527.00,COMPLETED
120,159,2,2024-09-07,2024-09-12,486.00,ON_HOLD
121,116,9,2024-12-15,2024-12-24,668.00,COMPLETED
122,56,1,2025-03-30,2025-04-02,701.00,COMPLETED
123,274,9,2025-12-22,2026-01-06,171.00,ON_HOLD
124,299,4,2023-07-31,2023-08-11,909.00,COMPLETED
125,48,4,2025-11-29,2025-12-11,501.00,COMPLETED
126,283,10,2025-06-04,2025-06-12,54.00,COMPLETED
127,274,3,2024-12-25,2025-01-10,591.00,ON_HOLD
128,294,12,2024-04-06,2024-04-22,337.00,IN_PROGRESS
129,151,6,2023-06-11,2023-06-27,579.00,COMPLETED
130,180,4,2026-08-23,2026-09-04,447.00,COMPLETED
131,480,7,2024-03-02,2024-03-05,769.00,COMPLETED
132,373,10,2024-12-21,2024-12-27,756.00,COMPLETED
133,238,5,2023-10-16,2023-10-25,762.00,IN_PROGRESS
134,396,11,2024-07-23,2024-07-30,431.00,IN_PROGRESS
135,76,6,2024-03-28,2024-04-09,435.00,IN_PROGRESS
136,385,10,2024-02-02,2024-02-14,628.00,COMPLETED
137,27,8,2026-02-24,2026-03-11,149.00,COMPLETED
138,93,8,2023-11-16,2023-11-27,259.00,COMPLETED
139,112,1,2023-05-24,2023-05-31,943.00,ON_HOLD
140,259,6,2025-06-18,2025-07-02,617.00,COMPLETED
141,26,1,2024-09-14,2024-09-21,384.00,COMPLETED
142,362,11,2024-10-18,2024-10-28,66.00,COMPLETED
143,96,6,2026-01-20,2026-02-01,899.00,IN_PROGRESS
144,438,9,2025-04-22,2025-04-30,483.00,COMPLETED
145,238,6,2023-12-11,2023-12-24,814.00,COMPLETED
146,423,9,2025-07-06,2025-07-19,627.00,COMPLETED
147,207,12,2023-01-19,2023-02-01,945.00,COMPLETED
148,247,7,2024-07-24,2024-08-03,967.00,IN_PROGRESS
149,167,5,2024-04-19,2024-05-04,87.00,COMPLETED
150,283,5,2026-08-01,2026-08-15,253.00,COMPLETED
151,54,10,2024-03-06,2024-03-10,526.00,COMPLETED
152,45,10,2025-06-19,2025-06-24,623.00,ON_HOLD
153,268,9,2024-07-07,2024-07-13,164.00,IN_PROGRESS
154,243,3,2023-07-25,2023-07-31,848.00,COMPLETED
155,496,2,2024-01-29,2024-02-07,90.00,COMPLETED
156,315,9,2025-01-07,2025-01-23,376.00,COMPLETED
157,136,8,2023-10-06,2023-10-14,437.00,ON_HOLD
158,211,2,2024-01-25,2024-01-29,910.00,COMPLETED
159,439,9,2023-08-31,2023-09-13,650.00,COMPLETED
160,273,1,2024-12-27,2024-12-30,78.00,ON_HOLD
161,325,6,2025-11-12,2025-11-15,686.00,ON_HOLD
162,121,6,2024-02-12,2024-02-28,790.00,COMPLETED
163,490,4,2023-01-04,2023-01-18,538.00,COMPLETED
164,183,5,2023-11-05,2023-11-14,124.00,IN_PROGRESS
165,162,7,2023-03-30,2023-04-12,283.00,IN_PROGRESS
166,305,1,2024-05-15,2024-05-19,350.00,COMPLETED
167,201,3,2025-03-05,2025-03-12,425.00,COMPLETED
168,180,2,2024-08-12,2024-08-20,496.00,COMPLETED
169,458,12,2026-06-18,2026-07-03,338.00,COMPLETED
170,232,2,2023-03-08,2023-03-23,959.00,COMPLETED
171,363,4,2023-07-26,2023-08-05,757.00,COMPLETED
