NODE_ID,NODE_TYPE,SOURCE_ID,LABEL,PROPERTIES,DEGREE_IN,DEGREE_OUT,DEGREE_TOTAL,COMPONENT_ID,PAGERANK,HUB_SCORE,AUTHORITY_SCORE,BETWEENNESS
1,SUPPLIER,1,NEXORA SEMICONDUCTORS,"{
  ""code"": ""SUP-00001"",
  ""commodity_id"": 2,
  ""country_id"": 7,
  ""is_problem"": true,
  ""reliability"": 0.88
}",0,16,16,1,1.9703139366872458e-05,0.04230059093694746,2.6387117912161313e-30,0.0
2,SUPPLIER,2,NEXORA COMPONENTS,"{
  ""code"": ""SUP-00002"",
  ""commodity_id"": 1,
  ""country_id"": 17,
  ""is_problem"": false,
  ""reliability"": 0.84
}",0,17,17,1,1.9703139366872458e-05,0.042284893513440065,2.6387117912161313e-30,0.0
3,SUPPLIER,3,NEXORA MATERIALS,"{
  ""code"": ""SUP-00003"",
  ""commodity_id"": 8,
  ""country_id"": 11,
  ""is_problem"": false,
  ""reliability"": 0.74
}",0,19,19,1,1.9703139366872458e-05,0.046147576885284564,2.6387117912161313e-30,0.0
4,SUPPLIER,4,NEXORA ELECTRONICS,"{
  ""code"": ""SUP-00004"",
  ""commodity_id"": 5,
  ""country_id"": 8,
  ""is_problem"": false,
  ""reliability"": 0.79
}",0,15,15,1,1.9703139366872458e-05,0.04607532473175977,2.6387117912161313e-30,0.0
5,SUPPLIER,5,NEXORA TECHNOLOGIES,"{
  ""code"": ""SUP-00005"",
  ""commodity_id"": 9,
  ""country_id"": 3,
  ""is_problem"": false,
  ""reliability"": 0.94
}",0,14,14,1,1.9703139366872458e-05,0.04612312860934931,2.6387117912161313e-30,0.0
6,SUPPLIER,6,NEXORA PRECISION,"{
  ""code"": ""SUP-00006"",
  ""commodity_id"": 7,
  ""country_id"": 12,
  ""is_problem"": false,
  ""reliability"": 0.82
}",0,14,14,1,1.9703139366872458e-05,0.04615304297731276,2.6387117912161313e-30,0.0
7,SUPPLIER,7,NEXORA SYSTEMS,"{
  ""code"": ""SUP-00007"",
  ""commodity_id"": 11,
  ""country_id"": 22,
  ""is_problem"": false,
  ""reliability"": 0.68
}",0,13,13,1,1.9703139366872458e-05,0.042334644244010525,2.6387117912161313e-30,0.0
8,SUPPLIER,8,NEXORA SOLUTIONS,"{
  ""code"": ""SUP-00008"",
  ""commodity_id"": 9,
  ""country_id"": 19,
  ""is_problem"": false,
  ""reliability"": 0.81
}",0,13,13,1,1.9703139366872458e-05,0.04610751290851626,2.6387117912161313e-30,0.0
9,SUPPLIER,9,NEXORA INDUSTRIES,"{
  ""code"": ""SUP-00009"",
  ""commodity_id"": 5,
  ""country_id"": 17,
  ""is_problem"": false,
  ""reliability"": 0.69
}",0,16,16,1,1.9703139366872458e-05,0.04607393424840308,2.6387117912161313e-30,0.0
10,SUPPLIER,10,NEXORA MANUFACTURING,"{
  ""code"": ""SUP-00010"",
  ""commodity_id"": 8,
  ""country_id"": 22,
  ""is_problem"": false,
  ""reliability"": 0.69
}",0,15,15,1,1.9703139366872458e-05,0.04613113331470075,2.6387117912161313e-30,0.0
11,SUPPLIER,11,BLUEFORGE SEMICONDUCTORS,"{
  ""code"": ""SUP-00011"",
  ""commodity_id"": 11,
  ""country_id"": 11,
  ""is_problem"": false,
  ""reliability"": 0.83
}",0,14,14,1,1.9703139366872458e-05,0.046106855414236175,2.6387117912161313e-30,0.0
12,SUPPLIER,12,BLUEFORGE COMPONENTS,"{
  ""code"": ""SUP-00012"",
  ""commodity_id"": 12,
  ""country_id"": 8,
  ""is_problem"": true,
  ""reliability"": 0.76
}",0,14,14,1,1.9703139366872458e-05,0.04606719318888654,2.6387117912161313e-30,0.0
13,SUPPLIER,13,BLUEFORGE MATERIALS,"{
  ""code"": ""SUP-00013"",
  ""commodity_id"": 8,
  ""country_id"": 21,
  ""is_problem"": false,
  ""reliability"": 0.63
}",0,16,16,1,1.9703139366872458e-05,0.04226851362491217,2.6387117912161313e-30,0.0
14,SUPPLIER,14,BLUEFORGE ELECTRONICS,"{
  ""code"": ""SUP-00014"",
  ""commodity_id"": 5,
  ""country_id"": 21,
  ""is_problem"": false,
  ""reliability"": 0.77
}",0,14,14,1,1.9703139366872458e-05,0.04605964998995422,2.6387117912161313e-30,0.0
15,SUPPLIER,15,BLUEFORGE TECHNOLOGIES,"{
  ""code"": ""SUP-00015"",
  ""commodity_id"": 7,
  ""country_id"": 13,
  ""is_problem"": false,
  ""reliability"": 0.78
}",0,15,15,1,1.9703139366872458e-05,0.04610855921754684,2.6387117912161313e-30,0.0
16,SUPPLIER,16,BLUEFORGE PRECISION,"{
  ""code"": ""SUP-00016"",
  ""commodity_id"": 3,
  ""country_id"": 18,
  ""is_problem"": false,
  ""reliability"": 0.72
}",0,14,14,1,1.9703139366872458e-05,0.046073198627333146,2.6387117912161313e-30,0.0
17,SUPPLIER,17,BLUEFORGE SYSTEMS,"{
  ""code"": ""SUP-00017"",
  ""commodity_id"": 9,
  ""country_id"": 10,
  ""is_problem"": false,
  ""reliability"": 0.67
}",0,16,16,1,1.9703139366872458e-05,0.04226178008225118,2.6387117912161313e-30,0.0
18,SUPPLIER,18,BLUEFORGE SOLUTIONS,"{
  ""code"": ""SUP-00018"",
  ""commodity_id"": 2,
  ""country_id"": 7,
  ""is_problem"": false,
  ""reliability"": 0.68
}",0,14,14,1,1.9703139366872458e-05,0.04227950866579438,2.6387117912161313e-30,0.0
19,SUPPLIER,19,BLUEFORGE INDUSTRIES,"{
  ""code"": ""SUP-00019"",
  ""commodity_id"": 1,
  ""country_id"": 19,
  ""is_problem"": false,
  ""reliability"": 0.78
}",0,15,15,1,1.9703139366872458e-05,0.04612379022831979,2.6387117912161313e-30,0.0
